River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,4.00,4.10,Alert,Rising,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,6.79,6.72,Normal,,84.0,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,13.91,13.63,Normal,,111.7,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.23,2.44,Normal,,7.0,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.73,1.66,Normal,,120.5,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.07,1.05,Normal,,74.2,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.52,1.49,Normal,,36.0,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.40,2.43,Normal,,165.8,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.59,8.60,Normal,,96.4,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,6.20,6.19,Alert,Falling,52.3,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.50,4.46,Alert,Falling,53.3,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.81,5.87,Alert,Rising,52.3,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.38,3.39,Normal,,98.9,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.26,3.00,Normal,,113.6,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.52,1.54,Alert,Rising,22.4,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.58,6.53,Minor Flood,Falling,87.9,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.91,2.73,Normal,,38.9,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.78,1.70,Normal,,26.1,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,4.95,4.91,Minor Flood,Falling,76.9,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,2.58,2.51,Normal,,23.9,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.67,1.65,Normal,,38.6,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,2.75,2.68,Normal,,14.8,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,2.75,2.74,Normal,,87.4,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,2.07,2.02,Normal,,15.9,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.88,0.88,Normal,,8.8,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.98,0.98,Normal,,7.3,
,,Manampitiya ( Old),m,3.50,5.00,6.00,1.06,1.14,Normal,,47.7,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,2.20,2.28,Normal,,47.7,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-0.75,-0.80,Normal,,33.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,4.52,4.55,Normal,,2.7,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.45,1.46,Normal,,10.5,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,1.20,1.19,Normal,,17.2,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,4.43,4.43,Normal,,5.7,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,1.40,1.34,Normal,,53.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,4.24,4.28,Normal,,13.8,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,2.89,2.91,Normal,,8.9,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,-,-,-,4.98,4.97,Normal,,46.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,5.59,5.43,Alert,Falling,33.8,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,4.12,4.00,Normal,,63.3,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,5.66,5.70,Major Flood,Rising,44.2,
