,,,,,,,,Masspotha,,84.2
,,,,,,,,Amunugama,,20.6
,,,,Kotmale(CEB),,0.0,,Ethiliyagala,,22.0
,,,,Victoria(CEB),,0.0,,Ma Eliya,,7.4
Kukulegam,"a(CEB)
Gin Ganga",Baddegama,"6° 10' 25'' N
80° 10' 33.1'' E",749,m,3.50,4.00,5.00,,NA
Halwathur,"a (HMIS)
Gin Ganga",Tawalama,"6° 20' 33.3'' N
80° 19' 55.2'' E",377,m,4.00,6.00,7.50,,5.6
Anguruwathota (HMIS),,NA,,Bowatenna(CEB),,0.0,,Moragaswewa (HMIS),,NA
Dela (HMIS),,29.0,,Ukuwela(CEB),,0.0,,Nugawela (HMIS),,NA
Magura (Baduraliya) (HMIS),,NA,,U.Kothmale(CEB),,0.0,,,,
Malwala (HMIS),,NA,,Angamedilla (HMIS),,NA,,,,
Banagoda (HMIS),,16.0,,Hembarewa (HMIS),,NA,,,,
Watapotha (HMIS),,NA,,Calsey Maeliya (HMIS),,32.0,,,,
Paragoda (HMIS),,NA,,Ulhitiya (Res) (HMIS),,7.0,,,,
,,,,Girithale(Res) (HMIS),,21.0,,,,
,,,,Parakrama Samu.(Res) (HMIS),,NA,,,,
,,,,Minneriya(Res) (HMIS),,NA,,,,
,,,,Kaudulla(Res) (HMIS),,NA,,,,
,,,,Diyabeduma (HMIS),,NA,,,,
,,,,Ulhitiya Inlet Canal (HMIS),,NA,,,,
,,,,Minipe LB Canal (HMIS),,NA,,,,
,,,,Moragahakanda (HMIS),,51.0,,,,
