River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12:00
Noon",Remarks,"Water Level
Rising or
Falling","3 Hr RF in
mm at
12:00 Noon",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.60,2.60,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.10,4.90,Normal,,1.5,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.20,12.01,Normal,,9.5,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.26,2.45,Normal,,5,.4,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.98,0.83,Normal,,1.2,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.42,1.45,Normal,,10.6,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.27,1.25,Normal,,2.4,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.98,1.98,Normal,,11.2,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.68,8.74,Normal,,1.9,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,7.83,7.73,Minor Flood,Falling,7.9,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.71,2.68,Normal,,8.4,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.81,5.83,Alert,Rising,2.1,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.32,2.26,Normal,,2.5,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.31,3.31,Normal,,1.9,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.73,1.73,Minor Flood,,2.5,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.80,6.75,Minor Flood,Falling,0.0,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.95,1.89,Normal,,0.0,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.95,0.95,Normal,,2.0,,
Mahaweli Ganga,Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,4.75,4.70,Normal,,3.1,,
(RB 60),Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,2.41,2.45,Normal,,9.7,,
