"තත්තත්තව වාර්තාව - ශ්‍රී ලංකාව / epiyik mwpf;if - ,yq;if/ Situation Report- Sri Lanka දිනය
/jpfjp / Date : 21st May 2020 at 1800hrs",,,,,,,,,,,,,,,,,,,
"පළාත
khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிரவ் ாகப் பிரிவு
Administrative purvie",,"ආපදාව
mdHj;jk;
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්ූවන් පිළිබඳ විස්ත්‍රතර / Details of those affected
/பாதிக்கப்படட் வரக் ளின் விவரங்கள்",,,,,,,"මිය යෑම්
kuzq;fs;
Deaths","තුවාලවු
පුද්ගලයින්
fhaki
le;NjhH
Injured
People","අතුරුදහ
න්ූ
පුද්ගලයි
න්
fhzhk
y;NghNd
hH
Missing
People","නිවාස්ත්‍ හානි Nrjkile;j
tPLfs; Houses Damaged",,,"ලවනත්ත කරුණු NtW
Fwpg;Gf;fs; Remarks"
,,,,,,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ඥාති ස්ත්‍හලවනත්ත නිවාස්ත්‍
වල සිටින / In
relatives' homes",,"බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,,,,,,,
,,"දිස්ත්‍රික්කය
மாவடட் ம்
District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp DS
Division",,,"ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;if
No. of
Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ හානි
gFjpasT
Partially","සුළු හානි/
Minor
damage",
"සබරගමුෙ පලාත
rg;ufKt",1,"රත්නපුර/,uj;jpdGhp/
Rathnapura",Palmadulla,"Flood and
Landslide",2020.05.21,2,6,26,,,,,,,,,,,
,,,Ayagama,,,1,5,18,,,,,,,,,,,
,,,Rathnapura,,,2,6,25,,,,,,,,,,,
,,,Balangoda,,,2,17,73,,,,,,,,,,,
,දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total,,,,,7,34,142,0,0,0,0,0,0,0,0,0,0,
Sabaragamuwa,2,"කෑගල්ල
Nffhiy Kegalle",Dehiowita,High wind,2020.05.21,,,,,,3,12,,,,,,3,
,,,Mawanella,,,,,,,,19,25,,,,,5,2,
,,,Warakapola,,,,,,1,2,3,12,,,,,2,1,
,දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total,,,,,0,0,0,1,2,25,49,0,0,0,0,7,6,
,පළාත් ඵකතුෙ khfhz $l;Lj;njhif Province Total,,,,,7,34,142,1,2,25,49,0,0,0,0,7,6,
"උතුරු පලාත tl
khfhzk Northen",3,"යාපනය/aho;g;ghzk;
/ Jaffna",Delft,High wind,2020.05.21,,,,,,1,2,,,,,1,,
,,,Karainagar,,,,,,,,1,3,,,,,1,,
,,,Uduvil,,,,,,,,2,6,,,,,,,
,,,Chankanai,,,,,,,,1,2,,,,,1,,
,,,Nallur,,,,,,,,1,6,,,,,1,,
,,,Marurhankerny,,,,,,,,1,1,,,,,1,,
,,,Chavakachcheri,,,,,,,,2,9,,,,,2,,
,දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total,,,,,0,0,0,0,0,9,29,0,0,0,0,7,0,
,පළාත් ඵකතුෙ khfhz $l;Lj;njhif Province Total,,,,,0,0,0,0,0,9,29,0,0,0,0,7,0,
"Western
Nky; khfhzk
;බස්නාහිර පලාත",4,"ගම්පහ/fk;g`h/
Gampaha",Minuwangoda,High wind,2020.05.21,,,,,,1,1,,,,,1,,
,,,Aththanagalla,,,,,,,,3,19,,,,,3,,
,,,Dompe,,,,,,,,1,2,,,,,1,,
,දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total,,,,,0,0,0,0,0,5,22,0,0,0,0,5,0,
,පළාත් ඵකතුෙ khfhz $l;Lj;njhif Province Total,,,,,0,0,0,0,0,5,22,0,0,0,0,5,0,
"දකුනු පලාත
njd; khfhzk;
Southern",5,ගාල්ල/fhyp/Galle,Neluwa,Flood,2020.05.21,,,,,,,,1,,,,,,"succumb to his injuries
reference situation on 19th
at Neluwa"
,දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,
,පළාත් ඵකතුෙ khfhz $l;Lj;njhif Province Total,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,7,34,142,1,2,39,100,1,0,0,0,19,6,
