,,,"Disaster Management Center
Current Situation Report on 2025.12.12 at 1800 hrs",,,,,,,,
,,,,,,,,,Safety center Details,,
,,,,,,,,,,,
,,,,,,,Fully House,Partially House,,,
No.,Districts,Families,,Persons,Deaths,Missing,,,No of Safety,,
,,,,,,,damage,Damage,,Families,Persons
,,,,,,,,,,,
,,,,,,,,,centers,,
,,,,,,,,,,,
1,Puttalam,"80,375",,"287,364",36,4,627,"20,813",8,71,207
2,Badulla,"22,257",,"73,547",90,28,578,"7,729",147,"5,856","17,444"
3,Monaragala,"1,533",,"5,290",4,-,38,500,1,47,100
4,Matale,"7,288",,"25,813",29,8,247,"3,773",49,"1,267","3,899"
5,Colombo,"86,147",,"330,443",9,1,77,"4,167",4,43,141
6,Batticaloa,"12,469",,"37,389",4,-,11,946,-,-,-
7,Kegalle,"23,324",,"83,482",32,39,317,"12,817",104,"2,980","8,658"
8,Trincomalee,"27,234",,"90,140",-,-,37,"1,078",-,-,-
9,Anuradhapura,"22,562",,"74,084",13,-,234,"2,501",1,26,73
10,Mullaitivu,1,,1,2,-,5,907,-,-,-
11,Kilinochchi,161,,541,-,-,2,435,-,-,-
12,Ampara,"6,942",,"23,781",8,-,111,509,-,-,-
13,Jaffna,"18,179",,"58,363",3,-,2,443,4,54,181
14,Polonnaruwa,"11,570",,"41,128",2,-,225,"3,588",5,282,"1,372"
15,Kandy,"54,716",,"171,127",234,82,"1,568","14,111",279,"7,952","27,227"
16,Rathnapura,"19,092",,"74,277",1,-,6,"8,508",5,33,126
17,Kurunegala,"26,474",,"88,899",61,11,594,"4,717",24,557,"1,707"
18,Nuwara Eliya,"19,780",,"63,121",89,37,767,"3,742",211,"6,652","20,825"
19,Matara,448,,"1,671",-,-,1,437,-,-,-
20,Hambantota,7,,22,-,-,1,292,-,-,-
21,Galle,518,,"1,795",1,-,1,492,-,-,-
22,Kalutara,"2,013",,"7,093",-,-,1,953,-,-,-
23,Mannar,"23,704",,"77,694",4,-,46,477,2,224,637
24,Gampaha,24,,110,17,1,213,"6,735",2,24,110
25,Vavuniya,"6,320",,"20,785",-,-,1,"4,135",1,35,106
Total,,"473,138",,"1,637,960",640,211,"5,713","104,805",847,"26,103","82,813"
,,,,,,,,,,,
