River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3:00 pm",Remarks,"Water
Level
Rising or
Falling","6 Hr RF in
mm at 3.00
pm",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.00,3.15,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.19,5.18,Normal,,6.9,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.58,12.65,Normal,,2,5.1
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.00,2.25,Normal,,53.5,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.22,1.22,Normal,,7.5,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,2.01,2.25,Normal,,2,7.3
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.21,1.20,Normal,,8.0,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.86,2.86,Normal,,0.0,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.04,9.05,Normal,,2,2.7
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.98,4.96,Normal,,7.2,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.96,3.96,Normal,,3.2,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.82,6.82,Minor Flood,,5.1,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.92,3.94,Alert,Rising,0.0,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.07,3.02,Normal,,3.8,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.55,1.54,Alert,Falling,1.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.53,5.51,Alert,Falling,2.0,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.75,1.73,Normal,,1.5,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.07,1.06,Normal,,0.0,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.22,1.21,Normal,,0.0,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.35,0.35,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.60,0.60,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.30,1.30,Normal,,0.0,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.20,-0.21,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.74,0.74,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.44,0.44,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.36,0.36,Normal,,0.0,
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.13,0.13,Normal,,0.0,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-3.11,-3.12,Normal,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.89,2.90,Normal,,1,5.3
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.95,2.09,Normal,,2,0.1
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.29,0.29,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.64,1.64,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.50,0.49,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.06,1.06,Normal,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.34,0.33,Normal,,1.6,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,2.21,2.18,Normal,,3.2,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.11,3.10,Normal,,4.2,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.81,1.84,Normal,,1,7.9
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.86,2.84,Normal,,1.4,
