River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3:00 pm",Remarks,"Water
Level
Rising or
Falling","6 Hr RF in
mm at 3.00
pm",,,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.80,2.10,Normal,,-,,,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.24,2.28,Normal,,2.9,,,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.65,10.67,Normal,,8.3,,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.85,1.86,Normal,,10.2,,,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.83,2.00,Normal,,17.4,,,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.85,0.91,Normal,,6.4,,,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.11,1.11,Normal,,5.2,,,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.75,1.72,Normal,,0.6,,,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.02,6.95,Normal,,3.4,,,,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,2.90,2.83,Normal,,2.5,,,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.51,3.42,Normal,,0.0,,,,,
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,5.06,5.03,Alert,Falling,0.6,,,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.61,3.60,Alert,Falling,0.0,,,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.28,2.26,Normal,,0.0,,,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.51,1.51,Alert,,3.8,,,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.72,4.67,Normal,,0.0,,,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.36,1.36,Normal,,0.0,,,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.96,0.95,Normal,,1.0,,,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.15,1.15,Normal,,0.0,,,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.68,1.80,Normal,,1.8,,,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.58,1.62,Normal,,11.7,,,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.85,1.86,Normal,,5.9,,,,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,1.67,1.69,Normal,,11.2,,,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,5.36,6.06,Minor Flood,Rising,41,,,.5,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,4.96,5.26,Alert,Rising,58.0,,,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,6.00,5.10,Minor Flood,Falling,39,,,.2,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,3.90,4.20,Alert,Rising,75.6,,,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,3.52,3.31,Normal,,47.8,,,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,5.26,5.15,Alert,Falling,47.6,,,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.65,1.65,Normal,,16.7,,,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,2.51,2.78,Normal,,,,25.3,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,7.32,7.39,Alert,Rising,55.5,,,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,1.94,2.42,Normal,,75.4,,,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,4.87,4.95,Normal,,,21.3,,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,2.99,2.98,Normal,,14.8,,,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,3.15,3.16,Normal,,13.2,,,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.64,3.70,Normal,,10.0,,,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.03,3.09,Normal,,15.8,,,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.06,2.08,Normal,,9.7,,,,,
