River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12.00
noon",Remarks,"Water Level
Rising or
Falling","3 Hr RF in
mm at
12.00 noon"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.80,2.95,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.53,5.44,Normal,,0.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.10,12.01,Normal,,0.0
,Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.88,1.86,Normal,,0.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.48,1.42,Normal,,0.0
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.80,0.79,Normal,,0.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.01,1.01,Normal,,0.0
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.35,2.35,Normal,,0.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.49,8.49,Normal,,0.0
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.02,3.95,Normal,,0.0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.94,3.94,Normal,,0.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.21,6.25,Alert,Rising,0.0
"Gin Ganga
(RB 09)",Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.06,3.07,Normal,,0.0
,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.50,2.45,Normal,,0.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.66,1.64,Alert,Falling,0.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.52,5.47,Alert,Falling,0.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.08,2.00,Normal,,0.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.30,1.26,Normal,,0.0
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,4.83,4.64,Normal,,0.0
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,4.32,4.24,Normal,,0.0
,Maha Oya,Giriulla,m,5.50,6.50,7.50,3.08,3.00,Normal,,0.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.62,4.64,Minor Flood,Rising,0.0
