River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6.00 pm",Remarks,"Water Level
Rising or
Falling","9 Hr RF in
mm at 6.00
pm",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.00,2.00,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.73,2.67,Normal,,0.0,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.40,10.38,Normal,,1.3,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.95,2.00,Normal,,,23.8
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.79,0.84,Normal,,,25.2
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.70,0.87,Normal,,2.5,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.97,0.97,Normal,,6.3,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.62,1.59,Normal,,0.0,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.70,6.67,Normal,,61.4,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.69,2.72,Normal,,,25.2
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.28,2.27,Normal,,0.0,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.07,5.03,Alert,Falling,,19.4
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.53,3.49,Normal,,0.0,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.36,2.50,Normal,,0.0,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.15,2.17,Minor Flood,Rising,0.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.36,6.34,Minor Flood,Falling,0.0,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.90,1.90,Normal,,0.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.36,1.34,Normal,,0.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.17,3.14,Normal,,,16.1
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.88,1.84,Normal,,0.0,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.97,2.92,Normal,,0.0,
