River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 pm","Water
Level at
12:00
midnight",Remarks,"Water Level
Rising or
Falling","15 Hr RF
in mm at
12.00
midnight",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.00,2.00,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.74,3.72,Normal,,0.0,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.29,11.31,Normal,,1.5,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.99,1.93,Normal,,13.3,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.17,1.21,Normal,,1.4,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.51,1.56,Normal,,19.6,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.80,0.80,Normal,,0.0,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.00,2.99,Normal,,0.0,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.29,8.25,Normal,,,5.5,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.58,3.54,Normal,,12.5,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.52,3.48,Normal,,0.0,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.98,6.98,Minor Flood,,0.0,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.60,2.60,Normal,,0.0,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,5.13,5.12,Major Flood,Falling,0.0,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.90,2.89,Major Flood,Falling,0.0,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.58,6.54,Minor Flood,Falling,0.0,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.07,2.06,Normal,,0.0,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.25,1.24,Normal,,0.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.85,2.83,Normal,,0.1,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.48,1.47,Normal,,0.3,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.54,3.50,Alert,Falling,1.2,,
