දින්‍ය : 2026-02-10,,,,,
න්‍ගරය,උෂ්ණත්වය(පස. අංශක),,සාපේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,29,20,90,65,ප්‍රධාන වශහයේ වැසි රහිත
මඩකලපුව,29,23,80,70,ප්‍රධාන වශහයේ වැසි රහිත
හකාළඹ,33,23,75,55,ප්‍රධාන වශහයේ වැසි රහිත
ගාල්ල,29,24,90,65,ප්‍රධාන වශහයේ වැසි රහිත
යාපනය,29,21,85,65,ප්‍රධාන වශහයේ වැසි රහිත
මහනුවර,29,17,90,70,ප්‍රධාන වශහයේ වැසි රහිත
නුවරඑළිය,21,9,90,65,ප්‍රධාන වශහයේ වැසි රහිත
රත්නපුරය,34,21,95,60,ප්‍රධාන වශහයේ වැසි රහිත
ිකුණාමලය,29,20,80,60,ප්‍රධාන වශහයේ වැසි රහිත
මේනාරම,31,23,85,70,ප්‍රධාන වශහයේ වැසි රහිත
