River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3:00 pm",Remarks,"Water
Level
Rising or
Falling","06 Hr RF
in mm at
3.00 pm",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.10,2.20,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,0.91,0.86,Normal,,0,.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,8.74,8.69,Normal,,0,.0
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.40,1.40,Normal,,0,.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.23,0.22,Normal,,0,.0
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.43,0.37,Normal,,0,.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.43,0.43,Normal,,0,.0
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.78,0.88,Normal,,0,.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,4.97,4.90,Normal,,0,.0
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,0.62,0.60,Normal,,0,.0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.71,2.60,Normal,,0,.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.79,3.74,Normal,,0,.0
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.63,1.60,Normal,,0,.0
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.05,3.02,Normal,,0,.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.69,0.70,Normal,,0,.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.53,3.53,Normal,,0,.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.54,0.54,Normal,,0,.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.19,0.19,Normal,,0,.0
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.72,0.72,Normal,,0,.0
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.19,0.19,Normal,,0,.0
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.54,0.53,Normal,,0,.0
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.18,1.18,Normal,,0,.0
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.19,-0.20,Normal,,0,.0
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.17,1.17,Normal,,0,.0
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.73,0.71,Normal,,0,.0
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.94,0.93,Normal,,0,.0
,,Manampitiya ( Old),m,3.50,5.00,6.00,0.81,0.76,Normal,,0,.0
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,1.95,1.90,Normal,,0,.0
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-1.84,-1.93,Normal,,0,.0
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.86,1.86,Normal,,0,.0
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.67,0.67,Normal,,0,.0
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.54,0.54,Normal,,0,.0
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,3.28,3.20,Normal,,0,.0
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.94,0.93,Normal,,0,.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,2.50,2.47,Normal,,0,.0
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.26,0.26,Normal,,0,.0
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,-,-,-,0.37,0.35,Normal,,0,.0
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,1.94,1.93,Normal,,0,.0
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,0.90,0.90,Normal,,0,.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.74,0.72,Normal,,0,.0
