River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 pm","Water
Level at
12:00 am",Remarks,"Water
Level
Rising or
Falling","15 Hr RF
in mm at
12.00 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.25,3.40,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.82,5.85,Normal,,26.3
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,13.05,13.07,Normal,,38.9
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.05,1.98,Normal,,34.2
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.45,1.46,Normal,,6.7
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,2.08,2.03,Normal,,77.9
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.96,0.95,Normal,,8.3
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,4.31,4.31,Minor Flood,,40.8
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,10.37,10.36,Alert,Falling,21.3
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,5.54,5.50,Alert,Falling,24.2
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.56,3.52,Normal,,0.0
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,8.61,8.58,Major Flood,Falling,31.5
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.68,2.68,Normal,,0.9
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.61,4.60,Minor Flood,Falling,7.5
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.28,2.27,Minor Flood,Falling,7.4
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.08,6.10,Minor Flood,Rising,17.2
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.20,2.26,Normal,,20.3
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.39,1.42,Normal,,4.8
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.40,3.37,Normal,,4.6
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.09,2.07,Normal,,12.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.35,4.35,Alert,,15.5
