River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
05:00 am","Water
Level at
06:00 am",Remarks,"Water Level
Rising or
Falling","21 Hr RF
in mm at
06.00 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.60,3.50,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.46,4.47,Normal,,48.4,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.63,11.70,Normal,,20.6,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.60,1.82,Normal,,5.6,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.06,1.13,Normal,,28.6,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.33,1.32,Normal,,6.7,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.87,0.86,Normal,,3.2,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.81,3.80,Alert,Falling,15.7,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.29,9.27,Normal,,44.7,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.57,4.53,Normal,,33.3,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.68,3.57,Normal,,18.3,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.44,7.40,Minor Flood,Falling,46.1,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.28,3.20,Normal,,50.6,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.31,4.31,Minor Flood,,85.1,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.46,2.47,Minor Flood,Rising,99.7,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.77,6.75,Minor Flood,Falling,38.2,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.46,2.43,Normal,,21.8,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.48,1.50,Normal,,29.9,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.26,3.29,Normal,,69.8,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.96,1.98,Normal,,65.9,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.38,3.40,Alert,Rising,52.7,,
