River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level 24
Rising or in
Falling 8."
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.40,2.30,Normal,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.25,5.33,Normal,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.96,13.10,Normal,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.03,2.03,Normal,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.76,1.74,Normal,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,2.20,2.57,Normal,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.10,1.12,Normal,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.16,3.18,Alert,Rising
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.50,9.54,Normal,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,6.79,6.78,Alert,Falling
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.41,5.40,Alert,Falling
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.62,7.67,Minor Flood,Rising
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,4.68,4.52,Alert,Falling
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.57,4.58,Minor Flood,Rising
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.98,2.00,Minor Flood,Rising
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,7.12,7.11,Minor Flood,Falling
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,3.27,3.15,Normal,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.89,1.81,Normal,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,1.11,1.11,Normal,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,-0.25,-0.25,Normal,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.40,0.40,Normal,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,0.97,0.97,Normal,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.33,-0.33,Normal,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.71,0.71,Normal,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.15,0.16,Normal,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.08,0.08,Normal,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-1.38,-1.38,Normal,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,-0.24,-0.24,Normal,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-3.02,-3.05,Normal,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.31,2.40,Normal,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,2.23,2.25,Normal,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.29,0.29,Normal,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.39,1.39,Normal,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.36,0.36,Normal,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,0.32,0.32,Normal,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-0.09,-0.09,Normal,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,-,-,-,0.10,0.12,Normal,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.45,3.47,Normal,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.37,2.36,Normal,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.30,4.34,Alert,Rising
