"උතුරු පලාත
tl khfhzk;
Northen",8,"යාපනය
aho;g;ghzk;
Jaffna",Delft,"Drinking water scarcity
due to prevailing dry
weather condition",2023.08.11,1038,3146,,,,,,,,,,
,,,Kayts,,,613,2050,,,,,,,,,,
,,,Chavakachcheri,,,3470,12885,,,,,,,,,,
,,,Maruthankerny,,,956,3067,,,,,,,,,,
,,,Chankanai,,,15967,49260,,,,,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,22044,70408,0,0,0,0,0,0,0,0,0,0
,9,"වව්නියාව tTdpah
Vavuniya",Vauniya North,"Drinking water scarcity
due to prevailing dry
weather condition",2023.08.04,450,1120,,,,,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,450,1120,0,0,0,0,0,0,0,0,0,0
,10,"මන්නාරම
kd;dhH
Mannar",Madu,"Drinking water scarcity
due to prevailing dry
weather condition",2023.08.03,952,3244,,,,,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,952,3244,0,0,0,0,0,0,0,0,0,0
,11,"මුලතිව්න
Ky;iyj;jPT
Mulaitivu",Manthai East,"Drinking water scarcity
due to prevailing dry
weather condition",2023.08.17,40,150,,,,,,,,,,
,,,Puthukudiyiruppu,,2023.08.08,167,563,,,,,,,,,,
,,,Maritimepattu,,2023.08.29,40,100,,,,,,,,,,
,,,Tunukkai,,2023.08.11,35,122,,,,,,,,,,
,,,Welioya,High Wind,2023.08.30,6,22,,,,,6,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,288,957,0,0,0,0,6,0,0,0,0,0
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,23734,75729,0,0,0,0,6,0,0,0,0,0
"ඌව
Cth khfhzk;
Uva",12,"බදුල්ල
gJs;is
Badulla",Mahiyanganaya,"Drinking water scarcity
due to prevailing dry
weather condition",2023.08.04,165,668,,,,,,,,,,
,,,Badulla,,2023.08.07,316,1368,,,,,,,,,,
,,,Haldemulle,,2023.08.21,383,1245,,,,,,,,,,
,,,Meegahakivula,,2023.08.21,520,2130,,,,,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,1384,5411,0,0,0,0,0,0,0,0,0,0
,,"ගමානරාගල
nkhdwhfiy
Moneragala",Buttala,,2023.08.07,145,486,,,,,,,,,,
,,,Medagama,Drinking water scarcity,2023.08.15,3754,11311,,,,,,,,,,
,13,,Thanamalvila,"due to prevailing dry
weather condition",2023.08.07,830,2359,,,,,,,,,,
,,,Wellawaya,,2023.08.01,140,485,,,,,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,4869,14641,0,0,0,0,0,0,0,0,0,0
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,6253,20052,0,0,0,0,0,0,0,0,0,0
