River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3:00 p.m",Remarks,"Water Level
Rising or
Falling","6 Hr RF in
mm at 3.00
p.m",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.00,1.10,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.46,2.41,Normal,,0.3,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.20,10.20,Normal,,0.0,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.88,1.88,Normal,,,3.6
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.96,0.94,Normal,,0.0,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.70,0.73,Normal,,13.7,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.99,0.97,Normal,,0.0,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.87,1.81,Normal,,,3.5
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.85,6.78,Normal,,0.0,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.42,2.39,Normal,,,4.2
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.36,2.29,Normal,,0.0,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.17,5.12,Alert,Falling,,4.9
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.51,3.45,Normal,,0.0,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.23,2.22,Normal,,0.0,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.96,1.96,Minor Flood,,,2.3
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.60,5.58,Alert,Falling,,5.8
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.54,1.54,Normal,,0.5,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.98,0.98,Normal,,,2.6
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,2.15,2.15,Normal,,,4.6
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,4.22,4.16,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,6.38,6.30,Alert,Falling,0.0,
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,3.01,3.00,Normal,,0.0,
,Maha Oya,Giriulla,m,5.50,6.50,7.50,1.80,1.78,Normal,,,2.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.44,3.36,Alert,Falling,0.0,
