River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6:00 pm",Remarks,"Water
Level
Rising or
Falling","9 Hr RF in
mm at 6.00
pm",,,,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.90,3.00,Normal,,-,,,,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.75,4.80,Normal,,2,,,,7.8,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.25,12.44,Normal,,2,,,,6.9,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.30,2.33,Normal,,32.,,,,,8,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,2.16,2.42,Normal,,57.4,,,,,,
,"Seethawaka
Ganga",Deraniyagala,m,4.80,5.80,6.40,1.97,1.95,Normal,,49.1,,,,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.84,0.84,Normal,,,6.1,,,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.25,3.20,Alert,Falling,,,,22.6,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.98,7.96,Normal,,36.,,,,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.77,2.79,Normal,,,,,,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.63,3.59,Normal,,,,11.4,,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.05,7.04,Minor Flood,Falling,,,,16.7,,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.10,2.22,Normal,,,7.3,,,,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.62,3.60,Alert,Falling,1.0,,,,,,
"Nilwala
Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.30,1.29,Normal,,1.0,,,,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.65,4.61,Normal,,0.0,,,,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.18,1.17,Normal,,,,12.7,,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.37,0.37,Normal,,2.4,,,,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.13,3.15,Normal,,2,,,,6.3,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.99,2.05,Normal,,,,,19.7,,,
"Attanagalu
Oya (RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.40,3.46,Alert,Rising,35.,,,,,7,
