"දදනික තත්ත්ව වාර්තාව-ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date :23rd March 2022 at 0600hrs",,,,,,,,,,,,,,,,,,
"පළාත khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhakil
e;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු
NtW Fwpg;Gf;fs; Remarks"
,,"දිස්ත්‍රික්කය
மாவட்டம் District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp DS
Division",,,"පවුේ ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ හානි
gFjpasT
Partially","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்களின்
சேதங்கள்; Small,
Medium,
Enterprises
Damages","ඉතා වැදගත් යටිතල
පහසුකම් වලට වූ
හානි mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
"සබරගමුව
පලාත
rg;ufKt
Sabaragamuwa",,,Rathnapura,High Wind,2022.03.17,2,11,,,,,2,,,,,,
,,රත්නපුර,Kiriella,Fire,2022.03.18,1,5,,,,,1,,,,,,
,1,",uj;jpdGhp",,High Wind,,1,4,,,,,1,,,,,,
,,Rathnapura,Imbulpe,Heavy Rain,2022.03.18,1,3,,,,,1,,,,,,
,,,Kolonna,High Wind,2022.03.20,1,5,,,,,1,,,,,,
,දිසරික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,6,28,0,0,0,0,6,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,6,28,0,0,0,0,6,0,0,0,0,0,
,2,නුවරඑලිය,Walapane,Cutting Faillure,2022.03.19,1,3,,,,,1,,,,,,
,,"Etnuypah
Nuwara Eliya",,Lightening,2022.03.17,1,4,,,,,1,,,,,,
,දිසරික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,2,7,0,0,0,0,2,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,2,7,0,0,0,0,2,0,0,0,0,0,
"Western
Nky;
khfhzk;
බසරනාහිර පලාත",3,"කකාළඹ
nfhOk;G
Colombo",Colombo,Fire,2022.03.09,8,26,,,,5,3,,,1,5,21,
,,,Moratuwa,High Wind,2022.03.17,27,112,,,,,27,6,,,,,
,දිසරික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,35,138,0,0,0,5,30,6,0,1,5,21,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,35,138,0,0,0,5,30,6,0,1,5,21,
,4,"ත්‍රීකුණාමලය
jp.kiy
Trincomalee",Seruwila,"Heavy Rain / High
Wind",2022.03.12,1,4,,,,,,1,,,,,
,,,Kantale,,2022.03.18,2,8,,,,,2,,,,,,
,දිසරික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,3,12,0,0,0,0,2,1,0,0,0,0,
"නැකගනහිර
පලාත
fpof;F
Eastern",5,"අම්පාර
mk;ghiw
Ampara",Mahaoya,High wind,2022.03.18,5,16,,,,,5,,,,,,
,,,Irakkamam,,2022.03.19,1,5,,,,,1,,1,,,,
,,,Ampara,Lighting,,1,3,,,,,1,,,,,,
,,,Pothuvil,"Heavy Rain / High
Wind",,2,9,,,,,2,,,,,,
,,,Damana,,,1,4,,,,,1,,,,,,
,දිසරික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,10,37,0,0,0,0,10,0,1,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,13,49,0,0,0,0,12,1,1,0,0,0,
