River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3.00 pm",Remarks,"Water Level
Rising or
Falling","6 Hr RF in
mm at 3.00
pm"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.00,3.00,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.19,4.10,Normal,,0.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.51,11.47,Normal,,0.0
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.90,1.95,Normal,,3.5
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.37,1.34,Normal,,0.0
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.97,0.93,Normal,,0.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.06,1.05,Normal,,0.0
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.58,1.58,Normal,,1.8
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.54,6.48,Normal,,0.7
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.46,2.42,Normal,,0.0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.00,2.00,Normal,,1.8
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.85,4.75,Normal,,6.2
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.07,2.07,Normal,,0.0
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.03,2.08,Normal,,0.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.76,1.73,Minor Flood,Falling,0.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.97,4.97,Normal,,0.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.56,1.55,Normal,,8.4
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.02,1.02,Normal,,0.0
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,2.74,2.00,Alert,Falling,0.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,2.15,2.15,Normal,,5.9
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,3.68,3.64,Normal,,6.5
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,4.19,4.23,Normal,,92.5
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.19,3.15,Normal,,5.3
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.46,4.42,Minor Flood,Falling,0.0
