"ස්ත්‍බරෙමුව පලාත
rg;ufKt
Sabaragamuwa",5,"රත්නපුර
,uj;jpdGhp
Rathnapura",Weligepola,Flash Flood,2024.12.14,1,5,,,,,,,,,,,
,,,Ayagama,High Wind,,5,19,,,,,5,,,,,,
,,,Godakawela,Rock Fallen,,1,4,,,,,1,,,,,,
,,,,Cutting Failure,,1,5,,,,,1,,,,,,
,,,Balangoda,High Wind,2024.12.15,1,3,,,,,1,,,,,,
,,,Kolonna,,,1,1,,,,,1,,,,,,
,,,Opanayaka,Rock Fallen,,1,4,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,11,41,0,0,0,0,10,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,11,41,0,0,0,0,10,0,0,0,0,0,
,6,"කෑෙල්ල
Nffhiy
Kegalle",Deraniyagala,Cutting Failure,2024.12.14,1,2,,,,,1,,,,,,
,,,,Tree Fallen,,1,3,,1,,,1,,,,,,
,,,Yatiyanthota,High Wind,2024.12.15,1,2,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,3,7,0,1,0,0,3,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,3,7,0,1,0,0,3,0,0,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,302,924,0,1,0,0,29,3,0,4,51,165,
ආපදා කළමනාකරණ මධයස්ත්‍රථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre,,,,,,,,,,,,,,,,,,
,,,,,,,"හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,
