River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 am","Water
Level at
3.00 am",Remarks,"Water
Level
Rising or
Falling","18 Hr RF
in mm at
3.00 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.00,3.00,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.56,5.59,Normal,,3,0.8
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.99,12.99,Normal,,2,7.5
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.10,2.00,Normal,,3,1.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,2.10,1.86,Normal,,2,1.0
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,2.18,2.11,Normal,,3,8.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.48,1.44,Normal,,2,7.9
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.67,2.66,Normal,,7.0,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.70,8.73,Normal,,2,2.7
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,5.08,5.06,Normal,,1,6.3
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.60,4.58,Alert,Falling,1.4,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.58,6.58,Minor Flood,,2,3.9
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.49,3.51,Alert,Rising,6.8,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,4.63,4.57,Alert,Falling,58.3,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.46,1.48,Alert,Rising,1.8,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.70,5.73,Alert,Rising,9.8,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.79,2.79,Normal,,7.7,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.85,1.82,Normal,,3,5.2
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,2.47,2.45,Normal,,4.5,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.40,0.40,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.65,0.64,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.29,1.29,Normal,,0.0,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.16,-0.16,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.76,0.76,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.45,0.45,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.39,0.39,Normal,,0.0,
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.30,0.29,Normal,,0.0,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.85,-2.78,Normal,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.97,2.97,Normal,,7.2,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,2.31,2.20,Normal,,2,6.5
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.33,0.33,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.74,1.74,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.51,0.51,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.20,1.20,Normal,,0.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,2.52,2.53,Normal,,2,3.1
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,3.77,3.76,Normal,,2,2.3
,Maha Oya,Giriulla,m,5.50,6.50,7.50,2.55,2.53,Normal,,2,2.4
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.77,3.76,Alert,Falling,2,5.0
