,8,"්කොළඹ
nfhOk;G
Colombo",Kolonnawa,Cutting Failure,2022.10.14,5,18,,,,,,,,1,5,18,"Meethotamulla Navy
Ground pavilion"
,,,,Flood,2022.10.14,3203,10389,,,,,,,,10,1257,3705,"1. Sinhapura Community Hall
2.Mulleriyawa North Nirmawila
Meditation Hall 3.Ambathale
Nirmawila Meditation Hall 4.
Kotuwila Gamini School 5.Polwatta
Muslim Mosque 6.Welewatta
Siddhartha School 7.Megoda
Kolonnawa Siddhartha School 8.
Abuhabakar Mosque 9.Nuraniya
Mosque 10.Rahuman Mosque"
,,,Ja'Pura - Kotte,Flash Flood,2022.10.14,25,110,,,,,,,,,,,
,,,Thimbirigasyaya,Flash Flood,2022.10.14,178,707,,,,,,,,1,13,50,"Wanathamulla Mohomad
Community Hall"
,,,Homagama,Flash Flood,2022.10.14,124,406,,,,,1,,,,,,
,,,Kaduwela,Flash Flood,2022.10.14,718,2716,,,,,,,,9,60,240,"1.Pahala Bomiriya Munidasa
Kumrathunga School 2.Pahala
Bomiriya Morawaka watta
Community hall 3.Ihala Bomiriya
Senaka Community hall
4.Thunandahena Community hall
5.Welanlahawatta Community hall
6.Wekkawatta Community hall
7.wekkawatta GN Temporarty Hut 8.
Ambilladeniya Hector Bethmage
Community hall 9. Welihinda Grama
Sanwardhana Community hall"
,,,Seethawaka,Flash Flood,2022.10.14,83,320,,,,,10,,,2,60,231,"1.Walawwatta Mayadunna
M.V 2.Walawwatta K.V"
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,4336,14666,0,0,0,0,11,0,0,23,1395,4244,
,පළොත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,12429,48863,0,0,0,4,128,8,0,34,1616,5178,
"වයඹ පලොත
tlNky;
khfhzk;
North Western",9,"පුත්තලම
Gj;jsk;
Puttalam",Karuwalagaswewa,"High wind & Heavy
Rain",2022.10.13,29,93,,,,,29,1,,,,,
,,,Wennappuwa,Heavy rain,,1,2,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,30,95,0,0,0,0,30,1,0,0,0,0,
,පළොත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,30,95,0,0,0,0,30,1,0,0,0,0,
