River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.10,0.70,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,0.54,0.54,Normal,,0.0,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,8.47,8.45,Normal,,0.6,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.54,1.54,Normal,,0.0,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.34,0.34,Normal,,0.0,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.12,1.15,Normal,,0.0,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.44,0.44,Normal,,0.5,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.63,0.47,Normal,,0.0,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,4.09,4.11,Normal,,0.0,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,0.87,0.84,Normal,,0.0,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.90,1.86,Normal,,1.9,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,2.75,2.74,Normal,,0.0,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.48,1.43,Normal,,4.6,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.37,1.36,Normal,,20.8,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.50,0.45,Normal,,1.3,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.56,2.59,Normal,,11.,6
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.58,0.57,Normal,,12.,8
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.07,0.07,Normal,,0.0,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.84,0.84,Normal,,0.0,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.48,0.47,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.84,0.84,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.23,1.24,Normal,,0.0,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.07,-0.07,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.88,0.88,Normal,,0.4,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.57,0.57,Normal,,0.6,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.90,0.89,Normal,,3.2,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,1.25,1.21,Normal,,5.7,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-2.35,-2.42,Normal,,7.4,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.20,1.22,Normal,,0.0,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.64,0.64,Normal,,0.0,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.49,0.48,Normal,,14.,2
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.56,2.00,Normal,,7.0,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.77,0.77,Normal,,1.4,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,1.61,1.60,Normal,,0.3,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.27,0.28,Normal,,0.8,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.25,0.26,Normal,,0.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,1.82,1.82,Normal,,0.0,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,0.75,0.75,Normal,,0.0,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.22,0.21,Normal,,0.0,
