River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3:00 pm",Remarks,"Water
Level
Rising or
Falling","6 Hr RF in
mm at 3.00
pm"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.90,2.20,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,1.97,1.96,Normal,,0.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.95,9.92,Normal,,0.0
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.83,1.83,Normal,,0.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.73,0.73,Normal,,0.0
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.65,0.66,Normal,,0.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.90,0.89,Normal,,6.2
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.79,0.83,Normal,,0.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.79,5.73,Normal,,0.0
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,2.05,2.01,Normal,,0.0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.78,1.76,Normal,,0.0
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,2.75,2.69,Normal,,0.0
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.80,1.79,Normal,,0.0
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.62,1.62,Normal,,6.5
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.75,0.61,Normal,,0.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.15,3.12,Normal,,4.9
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.87,0.86,Normal,,0.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.58,1.11,Normal,,77.0
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.02,1.01,Normal,,0.0
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.20,1.22,Normal,,9.2
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.08,1.09,Normal,,2.0
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.51,1.51,Normal,,2.9
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.32,0.32,Normal,,0.0
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.45,1.40,Normal,,0.0
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.90,1.10,Normal,,13.7
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.95,0.97,Normal,,2.0
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-,-,,,-
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-1.43,-1.43,Normal,,7.9
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.83,2.80,Normal,,0.6
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.19,1.19,Normal,,0.0
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,1.00,0.94,Normal,,5.8
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,2.55,2.62,Normal,,16.3
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,1.72,1.90,Normal,,13.1
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,3.25,3.21,Normal,,5.6
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,1.31,1.31,Normal,,1.3
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,-,-,,,-
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.62,2.62,Normal,,0.0
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.41,1.40,Normal,,0.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.38,1.38,Normal,,0.0
