River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3:00 pm",Remarks,"Water
Level
Rising or
Falling","6 Hr RF in
mm at 3.00
pm",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.20,2.55,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.18,5.18,Normal,,3.3,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,14.00,14.60,Normal,,10.2,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,6.71,5.33,Minor Flood,Falling,124.4,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,3.02,3.75,Minor Flood,Rising,10.6,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,6.24,5.85,Minor Flood,Falling,36.4,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,3.38,3.11,Minor Flood,Falling,118.2,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.30,1.35,Normal,,1.2,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.65,7.72,Normal,,10.1,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,7.18,7.65,Minor Flood,Rising,63,.4
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.19,2.19,Normal,,18.9,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.23,4.27,Normal,,4.7,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.29,2.27,Normal,,1.0,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.50,2.84,Normal,,26.0,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.77,0.67,Normal,,12.6,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.62,3.59,Normal,,29.9,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.06,1.13,Normal,,22.2,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.55,0.75,Normal,,31.6,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.71,0.71,Normal,,0.0,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.11,0.11,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.50,0.50,Normal,,1.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,0.91,0.93,Normal,,0.0,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.23,-0.23,Normal,,1.2,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.59,0.59,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.20,0.20,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.02,0.02,Normal,,0.2,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.17,-0.17,Normal,,0.0,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-3.14,-3.16,Normal,,1.2,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,8.30,9.20,Major Flood,Rising,42.8,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,8.07,7.85,Major Flood,Falling,115.3,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.15,0.15,Normal,,2.9,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.20,1.20,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.42,0.42,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,1.02,1.01,Normal,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.04,0.04,Normal,,0.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,-0.03,-0.02,Normal,,0.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.20,2.67,Normal,,0.3,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.25,2.02,Normal,,2.8,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.12,1.12,Normal,,1.5,
