River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
05:00 pm","Water
Level at
06:00 pm",Remarks,"Water
Level
Rising or
Falling","09 Hr RF
in mm at
06.00 pm",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,4.40,4.10,Alert,Falling,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,6.49,6.45,Normal,,1.8,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,13.85,13.67,Normal,,14.5,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.75,1.63,Normal,,9,.0,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,2.09,2.11,Normal,,17.1,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.39,1.39,Normal,,9,.9,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.30,1.26,Normal,,13.8,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.17,3.16,Alert,Falling,6,.5,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.63,8.63,Normal,,14.2,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,5.01,4.95,Normal,,1,1.2,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.20,4.17,Alert,Falling,0.0,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.42,7.38,Minor Flood,Falling,6,.8,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.75,3.74,Alert,Falling,0.0,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.74,2.74,Normal,,4,.6,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.50,1.51,Alert,Rising,0.6,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.12,5.07,Alert,Falling,1.2,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.61,1.55,Normal,,0.0,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.82,0.80,Normal,,5,.7,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.35,1.35,Normal,,0.0,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.59,0.59,Normal,,0.0,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.81,0.81,Normal,,0.0,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.35,1.34,Normal,,0.0,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.23,-0.24,Normal,,0.0,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.84,0.83,Normal,,0.0,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.52,0.52,Normal,,0.0,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.43,0.43,Normal,,0.0,,
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.58,0.61,Normal,,0.0,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.80,-2.85,Normal,,0.0,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.89,2.80,Normal,,7,.3,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.79,1.80,Normal,,9,.6,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.38,0.38,Normal,,0.2,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.74,1.73,Normal,,0.0,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.54,0.54,Normal,,0.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.51,1.53,Normal,,1.7,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.90,0.92,Normal,,9,.5,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,4.00,4.05,Normal,,1,1.2,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,4.36,4.35,Normal,,1,1.5,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.46,3.38,Normal,,9,.0,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.94,4.97,Minor Flood,Rising,17.9,,
