River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
02:00 pm","Water
Level at
03:00 pm",Remarks,"Water
Level
Rising or
Falling","6 Hr RF in
mm at 3.00
pm",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.90,3.00,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.15,5.19,Normal,,38.4,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.85,12.90,Normal,,11.2,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.96,2.12,Normal,,28.3,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.10,1.15,Normal,,3.4,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,2.24,2.33,Normal,,44.1,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.79,0.79,Normal,,0.0,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.11,3.11,Alert,,10.6,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.56,8.59,Normal,,3.0,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.64,4.62,Normal,,1.8,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.36,4.42,Alert,Rising,1.6,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.93,6.93,Minor Flood,,4.0,,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.93,2.87,Normal,,1.8,,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.39,4.39,Minor Flood,,1.2,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.68,2.68,Minor Flood,,4.9,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.49,6.48,Minor Flood,Falling,,16.3,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.06,2.02,Normal,,0.0,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.24,1.23,Normal,,12.0,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.00,3.04,Normal,,8.2,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.76,1.79,Normal,,11.5,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.70,3.76,Alert,Rising,1.6,,,
