River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 pm","Water
Level at
9:00 pm",Remarks,"Water
Level
Rising or
Falling","12 Hr RF
in mm at
9.00 pm",,,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,4.20,4.20,Alert,,-,,,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.92,5.84,Normal,,4.2,,,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.74,11.68,Normal,,9,,.5,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.98,1.92,Normal,,17.5,,,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.93,0.92,Normal,,1.4,,,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.36,1.32,Normal,,7,,.9,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.84,0.84,Normal,,0.0,,,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.70,3.70,Alert,,1.0,,,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.70,9.68,Normal,,"2.7
9.0",,,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.28,4.23,Normal,,9,,,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.97,3.94,Normal,,16.4,,,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.89,7.90,Minor Flood,Rising,11.,,,0,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.22,2.27,Normal,,13.4,,,,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.74,3.70,Alert,Falling,,5.8,,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.17,1.15,Normal,,2.1,,,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.24,4.23,Normal,,12.7,,,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.09,1.11,Normal,,14.6,,,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.28,0.31,Normal,,14.7,,,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.87,2.84,Normal,,0.0,,,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.54,1.52,Normal,,8,,.4,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.17,4.12,Alert,Falling,3.3,,,,,
