River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
05:00 pm","Water
Level at
06:00 pm",Remarks,"Water
0
Level
i
Rising or
Falling","9 Hr RF
n mm at
06.00 pm"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.60,3.40,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.57,4.53,Normal,,18.3
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.35,11.53,Normal,,19.9
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.81,1.95,Normal,,24.7
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.14,1.17,Normal,,14.3
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.71,2.11,Normal,,13.9
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.10,1.21,Normal,,28.4
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.18,3.19,Alert,Rising,14.9
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.48,8.46,Normal,,5.2
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.20,4.46,Normal,,26.4
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.52,4.51,Alert,Falling,3.1
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.51,7.50,Minor Flood,Falling,20.7
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.89,3.88,Alert,Falling,10.8
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.90,2.96,Normal,,12.9
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.53,1.53,Alert,,13.9
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.12,5.13,Alert,Rising,7.9
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.61,1.64,Normal,,11.5
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.92,0.98,Normal,,9.3
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.13,1.13,Normal,,2.6
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.56,0.55,Normal,,1.5
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.82,0.82,Normal,,2.7
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.30,1.30,Normal,,3.8
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.17,-0.17,Normal,,2.2
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.86,0.85,Normal,,0.0
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.56,0.55,Normal,,0.8
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.44,0.44,Normal,,0.0
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.75,0.75,Normal,,0.0
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.51,-2.56,Normal,,0.0
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.81,1.85,Normal,,14.5
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.57,1.78,Normal,,28.4
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.42,0.41,Normal,,0.0
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.90,1.89,Normal,,4.2
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.54,0.54,Normal,,2.4
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.46,1.46,Normal,,7.3
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.73,0.77,Normal,,20.9
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,2.67,2.66,Normal,,16.2
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.36,3.35,Normal,,11.8
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.07,2.06,Normal,,17.7
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.10,4.05,Alert,Falling,3.7
