River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.00,2.30,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.06,4.02,Normal,,15.2
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.84,11.84,Normal,,24.7
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.86,1.71,Normal,,46.1
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.59,1.67,Normal,,41.7
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.35,1.34,Normal,,32.1
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.14,1.14,Normal,,39.0
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.39,2.41,Normal,,9.8
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.51,8.52,Normal,,14.7
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,5.82,5.72,Alert,Falling,32.9
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.35,4.29,Alert,Falling,28.1
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.38,6.40,Alert,Rising,8.8
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.17,3.17,Normal,,37.0
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,3.07,2.97,Normal,,30.2
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.06,1.06,Normal,,5.8
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.74,4.68,Normal,,29.4
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.68,1.61,Normal,,9.4
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.05,0.97,Normal,,27.2
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.19,1.17,Normal,,3.4
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.65,0.63,Normal,,18.3
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.73,0.73,Normal,,6.8
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.34,1.34,Normal,,16.2
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.01,-0.01,Normal,,12.0
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.78,0.77,Normal,,2.4
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.39,0.42,Normal,,1.1
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.09,0.08,Normal,,3.1
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.02,-0.02,Normal,,0.0
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-3.20,-3.27,Normal,,0.8
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.58,2.57,Normal,,13.9
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.94,1.89,Normal,,39.2
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.26,0.24,Normal,,2.8
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.25,1.25,Normal,,1.0
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.53,0.53,Normal,,7.6
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,1.20,1.22,Normal,,19.0
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,1.57,1.62,Normal,,73.5
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.88,0.90,Normal,,38.5
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.43,3.48,Normal,,16.1
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.51,2.49,Normal,,18.8
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.28,3.30,Alert,Rising,24.9
