ප්‍රධාන නගර සෙො කාලගුණ අනාවැකිය දි න ය : 2 0 2 6 - 0 1 -10,,,,,
නගරය,උෂණ් ත්වය(බස. අෙංශක),,සාබේක්ෂ ආර්රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,28,22,95,70,විටින් විට වැසි තහෝ ගිගුරුම් සහිෙ වැසි ඇති තේ
මඩකලපුව,29,23,95,80,වැසි වාර කිහිපයක්
තකාළඹ,30,23,85,70,සවස 2.00න් පසුව වැසි තහෝ ගිගුරුම් සහිෙ වැසි ඇති විය හැක
ගාල්ල,30,23,90,70,සවස 2.00න් පසුව වැසි තහෝ ගිගුරුම් සහිෙ වැසි ඇති විය හැක
යාපනය,28,23,90,70,විටින් විට වැසි තහෝ ගිගුරුම් සහිෙ වැසි ඇති තේ
මහනුවර,25,19,95,85,වැසි වාර කිහිපයක්
නුවරඑළිය,18,12,95,85,වැසි වාර කිහිපයක්
රත්නපුරය,27,22,95,75,සවස 2.00න් පසුව වැසි තහෝ ගිගුරුම් සහිෙ වැසි ඇති විය හැක
ත්‍රිකුණාමලය,29,24,90,75,විටින් විට වැසි තහෝ ගිගුරුම් සහිෙ වැසි ඇති තේ
මන්නාරම,27,23,90,75,විටින් විට වැසි තහෝ ගිගුරුම් සහිෙ වැසි ඇති තේ
