பிரதான நகரங்களுக்கான வானிலை முன்னறிவித்தல் தி க தி : 2 0 2 6 - 0 1 - 1 0,,,,,
நகரம்,வவப்பநிலை (0C),,சாரீரப்பதன் (%),,வானிலை
,உச்ச,குலைந்த,உச்ச,குலைந்த,
அனுராதபுரம்,28,22,95,70,அவ்வப்ப ோது மழை அல்லது இடியுடன் கூடிய மழை ப ய்யும்
மட்டக்களப்பு,29,23,95,80,அடிக்கடி மழை ப ய்யும்
வகாழும்பு,30,23,85,70,"பி. . 2.00 மணிக்குப் பின்னர் மழை அல்லது இடியுடன் கூடிய மழை ப ய்யும்
சோத்தியம்"
காலி,30,23,90,70,"பி. . 2.00 மணிக்குப் பின்னர் மழை அல்லது இடியுடன் கூடிய மழை ப ய்யும்
சோத்தியம்"
யாழ்ப்பாணம்,28,23,90,70,அவ்வப்ப ோது மழை அல்லது இடியுடன் கூடிய மழை ப ய்யும்
கண்டி,25,19,95,85,அடிக்கடி மழை ப ய்யும்
நுவவரலியா,18,12,95,85,அடிக்கடி மழை ப ய்யும்
இரத்தினபுரி,27,22,95,75,"பி. . 2.00 மணிக்குப் பின்னர் மழை அல்லது இடியுடன் கூடிய மழை ப ய்யும்
சோத்தியம்"
திருககாணமலை,29,24,90,75,அவ்வப்ப ோது மழை அல்லது இடியுடன் கூடிய மழை ப ய்யும்
மன்னார்,27,23,90,75,அவ்வப்ப ோது மழை அல்லது இடியுடன் கூடிய மழை ப ய்யும்
