River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3:00 pm",Remarks,"Water
Level
Rising or
Falling","6 Hr RF
in mm at
3.00 pm",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,4.30,4.10,Alert,Falling,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,6.54,6.43,Normal,,0.5,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.41,12.30,Normal,,0.2,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.43,2.41,Normal,,1.5,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.20,1.18,Normal,,1.7,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.47,1.51,Normal,,10.0,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.88,0.89,Normal,,,3.8,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.21,3.21,Alert,,0.7,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.08,9.03,Normal,,2.5,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.58,3.51,Normal,,2.0,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.62,3.56,Normal,,7.8,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.64,7.62,Minor Flood,Falling,0.0,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.02,2.02,Normal,,0.8,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.34,2.31,Normal,,2.0,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.82,0.81,Normal,,1.1,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.65,3.62,Normal,,2.0,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.04,1.04,Normal,,0.0,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.43,0.42,Normal,,0.0,,
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,3.36,3.32,Normal,,,4.5,
,Maha Oya,Giriulla,m,5.50,6.50,7.50,2.15,2.12,Normal,,8.1,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.92,3.86,Alert,Falling,0.0,,
