River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
9:00 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.70,1.58,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.23,2.13,Normal,,4.7,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.15,10.06,Normal,,8.9,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.79,1.80,Normal,,106.0,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.52,0.50,Normal,,0.8,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.93,0.93,Normal,,5,0.8,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.78,0.77,Normal,,1.8,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.03,1.10,Normal,,3.8,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.92,6.92,Normal,,17.0,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.71,2.56,Normal,,5,4.3,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.30,3.22,Normal,,15.9,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.41,4.44,Normal,,9.6,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.40,2.27,Normal,,5,3.8,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.51,2.58,Normal,,10.6,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.21,1.21,Normal,,11.5,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.23,5.09,Alert,Falling,13.6,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.67,1.62,Normal,,77.2,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.69,0.77,Normal,,73.0,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.83,0.83,Normal,,0.0,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.65,0.63,Normal,,1.0,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.68,0.67,Normal,,3,9.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.39,1.37,Normal,,17.7,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.00,-0.02,Normal,,73.7,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.02,1.00,Normal,,22.9,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.42,0.42,Normal,,0.0,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.17,0.16,Normal,,5,5.9,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-0.84,-0.84,Normal,,0.0,,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.27,0.30,Normal,,0.0,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.63,-2.57,Normal,,4,2.0,
Mahaweli Ganga,Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.00,2.08,Normal,,7.6,,
(RB 60),Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.17,1.18,Normal,,1.1,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.50,0.48,Normal,,3.1,,
,Agra Oya,Calidonia,m,3.00,3.50,4.50,0.77,0.78,Normal,,8.3,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,2.22,2.25,Normal,,94.5,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.35,0.35,Normal,,2.2,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.34,1.33,Normal,,0.0,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.11,0.10,Normal,,0.0,,
"Deduru Oya
(RB 99)",Deduru Oya,Ridi bendi Ella (Dam),m,3.30,4.20,4.70,0.98,0.98,Normal,,0.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,1.94,1.95,Normal,,1.8,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,0.97,0.97,Normal,,0.0,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.40,0.40,Normal,,0.1,,
