ප්‍රධාන්‍ න්‍ගර සදහා කාලගුණ අන්‍ාවැකිය දි න්‍ ය : 2 0 2 6 - 0 1 -21,,,,,
න්‍ගරය,උෂ්ණත්වය(යස. අංශක),,සායේක්ෂ ආේරතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරොධ්‍පුරය,29,19,90,55,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
මඩකලපුව,29,22,90,65,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
නකොළඹ,31,22,80,55,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
ගොල්ල,30,24,85,70,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
යොපනය,29,20,85,60,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
ම නුවර,29,18,90,55,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
නුවරඑළිය,22,9,90,45,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
රත්තනපුරය,34,20,90,55,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
ිකුණොමලය,28,23,90,60,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
මේනොරම,29,22,80,65,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
