River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.80,1.90,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.80,2.73,Normal,,19.1
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.36,10.26,Normal,,48.7
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.55,1.40,Normal,,12.6
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.13,1.10,Normal,,54.4
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.45,0.39,Normal,,6.4
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.88,0.87,Normal,,5.4
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.65,0.67,Normal,,7.7
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.36,5.35,Normal,,10.9
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.55,1.49,Normal,,19.4
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.56,1.50,Normal,,3.6
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,2.28,2.24,Normal,,15.7
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.52,1.47,Normal,,31.8
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.30,1.28,Normal,,0.8
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.64,0.68,Normal,,11.1
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.45,3.44,Normal,,11.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.96,0.92,Normal,,10.1
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.46,0.44,Normal,,23.7
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,1.00,0.99,Normal,,60.4
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.40,0.40,Normal,,2.8
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.68,0.67,Normal,,17.7
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.30,1.29,Normal,,7.1
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.07,-0.07,Normal,,5.8
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.05,1.04,Normal,,0.5
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.53,0.53,Normal,,2.0
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.67,0.62,Normal,,40.9
,,Manampitiya ( Old),m,3.50,5.00,6.00,-0.63,-0.61,Normal,,1.1
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.51,0.53,Normal,,1.1
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.41,-2.46,Normal,,13.0
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.62,1.60,Normal,,2.6
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.14,1.09,Normal,,65.9
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.42,0.43,Normal,,7.1
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.73,1.73,Normal,,7.3
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.45,0.45,Normal,,8.2
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.20,1.20,Normal,,20.4
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.14,0.17,Normal,,12.3
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,-,-,-,0.22,0.22,Normal,,8.7
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,4.12,4.02,Normal,,91.3
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.71,2.58,Normal,,49.1
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.04,4.02,Alert,Falling,24.6
