"දදනික තත්ත්ව වාර්තාව- ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date :08th April 2025 at 0900hrs",,,,,,,,,,,,,,,,,,,
"පළාත khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிரவ் ாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhakil
e;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු
NtW Fwpg;Gf;fs; Remarks",
,,"දිස්ත්‍රික්කය
மாவடட் ம்
District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp DS
Division",,,"පවුේ ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ හානි
KOik Fully","අර්ධ හානි
gFjpasT
Partially","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்களி
ன் சேதங்கள்;
Small, Medium,
Enterprises
Damages","ඉතා වැදගත් යටිතල
පහසුකම් වලට වූ
හානි mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",,
"සබරගමුෙ පලාත
rg;ufKt
Sabaragamuwa",1,,Dehiowita,Lightning,2025.04.04,3,13,,,,,3,,,,,,,
,,,Aranayaka,Lightning,2025.04.06,2,8,,,,,2,,,,,,,
,,කෑගල්ල,Ruwanwella,Lightning/Tree Fallen,2025.04.04,4,14,,,,,4,,,,,,,
,,Nffhiy,Kegalle,Tree Fallen,2025.04.06,1,4,,,,,1,,,,,,,
,,Kegalle,Mawanella,,,1,6,,,,,1,,,,,,,
,,,Warakapola,,2025.04.05,1,3,,,,,1,,,,,,,
,,,Rambukkana,,2025.04.06,2,9,,,,,2,,,,,,,
,දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total,,,,,14,57,0,0,0,0,14,0,0,0,0,0,,
,2,,Pelmadulla,Tree Fallen,2025.04.04,2,9,,,,,2,,,,,,,
,,,Godakawela,,,1,4,,,,,1,,,,,,,
,,,Niwithigala,,2025.04.04/06,2,3,,,,,2,,,,,,,
,,රත්නපුර,Kalawana,Cutting Failure,2025.04.05,1,7,,,,,1,,,,,,,
,,",uj;jpdGhp
Rathnapura",Kiriella,Tree Fallen,2025.04.05,1,2,,,,,1,,,,,,,
,,,Balangoda,,2025.04.06,1,1,,,,,1,,,,,,,
,,,Elapatha,,,1,3,,,,,1,,,,,,,
,,,Rathnapura,,,1,4,,,,,1,,,,,,,
,දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total,,,,,10,33,0,0,0,0,10,0,0,0,0,0,,
,පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total,,,,,24,90,0,0,0,0,24,0,0,0,0,0,,
දකුණු පලාත njd;,3,"ගාල්ල fhyp
Galle",Elpitiya,High Wind,2025.04.06,,,,,,,,,1,,,,,
,,,Akmeemana,,,,,,,,,,,1,,,,,
khfhzk; Southern,දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total,,,,,0,0,0,0,0,0,0,0,2,0,0,0,,
,පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total,,,,,0,0,0,0,0,0,0,0,2,0,0,0,,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,24,90,0,0,0,0,24,0,2,0,0,0,,
ආපදා කළමනාකරණ මධ්‍යස්ථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre,,,,,,,,,,,,,,,,,,,
,,,,,,,"හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,,
