River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6.00 pm",Remarks,"Water Level
Rising or
Falling","9 Hr RF in
mm at 6.00
pm",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.80,1.80,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.95,2.88,Normal,,0.5,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.70,10.70,Normal,,9.1,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.85,1.90,Normal,,8.3,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.00,0.98,Normal,,2.0,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.79,0.80,Normal,,12.1,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.53,1.38,Normal,,15.3,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.36,1.33,Normal,,0.5,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.97,6.95,Normal,,32.,5
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.84,2.82,Normal,,0.0,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.08,2.03,Normal,,4.3,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.05,4.05,Normal,,12.1,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.08,3.11,Normal,,4.6,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.18,2.23,Normal,,1.0,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.15,2.15,Minor Flood,,4.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.90,5.98,Alert,Rising,6.1,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.23,2.55,Normal,,53.2,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,2.35,3.10,Alert,Rising,54.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.41,3.37,Normal,,8.0,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.15,2.09,Normal,,0.0,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.24,2.24,Normal,,1.2,
