தன்ைியக்ை வரைிக நிக யம்,மரவட்டம்,மகைவீழ்ச்சி (மி.மீ)
மாலிசபாட,லைைரக,104
களுபஹன,லைைரக,95.5
மஸ்சகலியா,நுவதரலியர,85.5
சபால்பித்திகம,குருநரைல்,85.0
தம்முள்ள,இரத்திைபுரி,82.5
