River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 am","Water
Level at
3:00 am",Remarks,"Water
Level
Rising or
Falling","18 Hr RF
in mm at
3:00 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.10,1.30,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,1.57,1.64,Normal,,0.0,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.09,12.42,Normal,,8.2,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,3.39,3.39,Alert,,136.0,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.70,0.65,Normal,,8.5,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,3.84,3.47,Normal,,37.8,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.68,2.08,Alert,Rising,79,.2,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.90,0.89,Normal,,0.0,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.90,6.08,Normal,,22.3,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,5.55,6.28,Alert,Rising,40.6,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.12,2.40,Normal,,28.9,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.84,3.86,Normal,,8.8,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.76,1.84,Normal,,12.9,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.57,2.73,Normal,,52.1,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.41,0.39,Normal,,5.8,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.39,3.55,Normal,,13.1,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.34,2.38,Normal,,35.8,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.31,0.33,Normal,,20.4,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.81,0.81,Normal,,0.5,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.02,0.03,Normal,,1.5,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.50,0.50,Normal,,6.3,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,0.92,0.92,Normal,,0.0,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.24,-0.24,Normal,,0.0,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.56,0.56,Normal,,6.4,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.18,0.19,Normal,,9.6,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.02,0.04,Normal,,0.3,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.10,-0.10,Normal,,0.5,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-,-,,,0.0,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,4.20,5.30,Alert,Rising,25.9,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,7.10,6.48,Major Flood,Falling,153.0,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.09,0.09,Normal,,0.9,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.20,1.20,Normal,,0.0,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.42,0.42,Normal,,3.8,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,-,-,,,0.0,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-,-,,,0.0,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,-0.03,-0.03,Normal,,0.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.23,2.22,Normal,,0.0,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.09,1.09,Normal,,1.4,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.15,1.15,Normal,,0.0,,
