River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 pm","Water
Level at
12:00
midnight",Remarks,"Water 1
Level i
Rising or
Falling","5 Hr RF
n mm at
12.00
midnight",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.40,3.40,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.93,5.91,Normal,,6.5,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,13.15,13.25,Normal,,22.5,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.97,1.96,Normal,,40.2,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,2.40,2.16,Normal,,34.1,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,2.02,1.94,Normal,,23.4,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.45,1.54,Alert,Rising,32.5,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.72,2.71,Normal,,20.0,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.62,8.63,Normal,,17.9,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,5.68,5.68,Alert,,31.6,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.50,3.57,Normal,,27.9,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.35,6.34,Alert,Falling,27.3,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.22,3.22,Normal,,6.7,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.78,4.00,Alert,Rising,29.8,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.43,1.44,Alert,Rising,12.4,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.24,5.28,Alert,Rising,11.4,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.18,2.20,Normal,,16.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.78,1.82,Normal,,28.9,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.38,1.38,Normal,,21.9,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.54,0.54,Normal,,4.2,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.68,0.67,Normal,,3.6,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.35,1.34,Normal,,9.9,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.14,-0.14,Normal,,6.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.76,0.76,Normal,,0.4,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.46,0.46,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.42,0.42,Normal,,0.2,
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.36,0.36,Normal,,0.0,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.65,-2.32,Normal,,2.1,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,4.38,4.58,Normal,,26.3,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,2.45,2.36,Normal,,44.6,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.37,0.38,Normal,,3.2,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.80,1.80,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.54,0.54,Normal,,0.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,4.16,4.45,Normal,,3.7,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.91,3.94,Normal,,15.9,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.09,3.18,Normal,,22.1,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.40,4.37,Alert,Falling,8.2,
