River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12:00
noon",Remarks,"Water
Level
Rising or
Falling","3 Hr RF in
mm at
12:00 noon",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,3.65,3.60,Normal,,-,,,
,Kelani Ganga,Hanwella,m,6.50,7.50,9.50,6.32,6.18,Normal,,,6.7,,
,Kelani Ganga,Glencourse,m,15.00,15.50,19.00,13.47,13.29,Normal,,15.,,,7
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,2.05,2.18,Normal,,,,9.1,
,Gurugoda Oya,Holombuwa,m,3.00,4.00,6.00,1.21,1.20,Normal,,0.3,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,7.00,1.70,1.88,Normal,,24.7,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.07,1.05,Normal,,0.0,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.60,2.61,Normal,,1,,1.1,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.96,8.98,Normal,,0.0,,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,5.73,5.70,Alert,Falling,2.7,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.53,5.51,Alert,Falling,3.9,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.82,6.87,Minor Flood,Rising,4.6,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.95,3.96,Alert,Rising,0.0,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,3.17,3.05,Normal,,1.9,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.45,1.45,Alert,,2.0,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.77,5.72,Alert,Falling,1.5,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.56,1.51,Normal,,1.6,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.69,0.68,Normal,,2.3,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.01,1.00,Normal,,2.0,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.10,1.10,Normal,,4.0,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.95,0.95,Normal,,0.0,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.07,1.07,Normal,,0.0,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.27,-0.27,Normal,,,7.0,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.54,0.54,Normal,,0.0,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.16,0.16,Normal,,0.0,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.10,0.10,Normal,,0.0,,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.18,-0.18,Normal,,0.0,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-2.87,-2.88,Normal,,0.0,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.10,3.08,Normal,,1.8,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,2.11,2.14,Normal,,4.0,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.25,0.26,Normal,,0.0,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.71,1.71,Normal,,0.0,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.41,0.41,Normal,,0.0,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,0.57,0.56,Normal,,0.0,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.47,0.44,Normal,,0.0,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,-0.21,-0.19,Normal,,0.0,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.59,3.51,Normal,,0.7,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.20,2.13,Normal,,0.8,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.23,3.20,Normal,,0.5,,,
