River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.10,3.10,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.59,5.51,Normal,,62.7,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.45,12.35,Normal,,58.4,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.00,2.00,Normal,,42.5,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.24,1.22,Normal,,6.7,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.11,1.06,Normal,,33.9,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.20,1.20,Normal,,51.8,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.30,2.32,Normal,,21.2,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.48,8.49,Normal,,74.4,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,5.23,5.11,Normal,,35.0,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.44,2.47,Normal,,2.1,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.70,5.72,Alert,Rising,65.1,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.35,3.35,Normal,,10.8,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.64,2.58,Normal,,3.4,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.92,1.92,Minor Flood,,9.2,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.52,6.49,Minor Flood,Falling,30.5,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.35,2.29,Normal,,58.2,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.48,1.42,Normal,,22.8,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,2.93,2.92,Alert,Falling,8.9,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.70,1.67,Normal,,14.4,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.25,1.24,Normal,,2.9,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,2.03,2.00,Normal,,33.7,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.62,0.62,Normal,,11.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.18,1.17,Normal,,28.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.49,0.49,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.61,0.61,Normal,,8.0,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-0.31,-0.31,Normal,,23.7,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.83,0.83,Normal,,23.7,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.36,-2.40,Normal,,14.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.60,2.78,Normal,,31.1,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.43,1.40,Normal,,21.3,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.81,0.80,Normal,,5.8,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,6.92,6.85,Alert,Falling,40.0,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.91,0.89,Normal,,15.9,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,3.25,3.22,Normal,,10.9,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,2.08,2.07,Normal,,0.1,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,6.10,6.05,Minor Flood,Falling,14.4,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,4.07,4.04,Normal,,42.2,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.07,2.95,Normal,,9.2,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.60,4.56,Minor Flood,Falling,29.7,
