பிரதான நகரங்களுக்கான வானிலை முன்னறிவித்தல் தி க தி : 2 0 2 6 - 0 3 - 2 7,,,,,
நகரம்,வவப்பநிலை (0C),,சாரீரப்பதன் (%),,வானிலை
,உச்ச,குலைந்த,உச்ச,குலைந்த,
அனுராதபுரம்,36,23,95,45,பிரதானமாக சீரான வானிலை
மட்டக்களப்பு,33,25,90,70,பிரதானமாக சீரான வானிலை
வகாழும்பு,34,26,90,55,பிரதானமாக சீரான வானிலை
காலி,33,26,80,65,"பி.ப. 2.00 மணிக்குப் பின்னர் மலை அல்ைது இடியுடன் கூடிய மலை வபய்யும்
சாத்தியம்"
யாழ்ப்பாணம்,35,22,90,60,சிறிதளவில் மலை வபய்யும்
கண்டி,35,20,95,40,பிரதானமாக சீரான வானிலை
நுவவரலியா,24,10,80,40,"பி.ப. 2.00 மணிக்குப் பின்னர் மலை அல்ைது இடியுடன் கூடிய மலை வபய்யும்
சாத்தியம்"
இரத்தினபுரி,38,23,95,45,"பி.ப. 2.00 மணிக்குப் பின்னர் மலை அல்ைது இடியுடன் கூடிய மலை வபய்யும்
சாத்தியம்"
திருககாணமலை,34,26,80,60,பிரதானமாக சீரான வானிலை
மன்னார்,33,25,90,60,பிரதானமாக சீரான வானிலை
