දින්‍ය : 2026-03-27,,,,,
න්‍ගරය,උෂ්ණත්වය(ලස. අංශ්‍ක),,සාලේක්ෂ ආර්තරතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,36,23,95,45,ප්‍රධාන වශතයන් වැසි රහිත
මඩකලපුව,33,25,90,70,ප්‍රධාන වශතයන් වැසි රහිත
තකාළඹ,34,26,90,55,ප්‍රධාන වශතයන් වැසි රහිත
ගාල්ල,33,26,80,65,සවස 2.00න් පසුව වැසි තහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යාපනය,35,22,90,60,වැසි සරවල්පයක්
මහනුවර,35,20,95,40,ප්‍රධාන වශතයන් වැසි රහිත
නුවරඑළිය,24,10,80,40,සවස 2.00න් පසුව වැසි තහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
රේනපුරය,38,23,95,45,සවස 2.00න් පසුව වැසි තහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ිකුණාමලය,34,26,80,60,ප්‍රධාන වශතයන් වැසි රහිත
මන්නාරම,33,25,90,60,ප්‍රධාන වශතයන් වැසි රහිත
