ප්‍රධාන්‍ න්‍ගර සෙහා කාලගුණ අන්‍ාවැකිය දි න්‍ ය : 2 0 2 6 - 0 1 - 0 8,,,,,
න්‍ගරය,"උ්්ණත්වය(කස.
අංශක)",,"සාකේක්්
ආර්රතාවය(%)",,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,28,21,95,75,විටින් විට වැසි තහෝ ගිගුරුම් සහිත වැසි ඇති තේ
මඩකලපුව,27,24,95,75,විටින් විට වැසි තහෝ ගිගුරුම් සහිත වැසි ඇති තේ
තකාළඹ,30,24,80,60,"සවස 2.00න් පසුව වැසි තහෝ ගිගුරුම් සහිත වැසි ඇති
විය හැක"
ොේල,29,24,95,80,"සවස 2.00න් පසුව වැසි තහෝ ගිගුරුම් සහිත වැසි ඇති
විය හැක"
යාපනය,28,24,90,70,විටින් විට වැසි
මහනුවර,26,20,95,75,වැසි තහෝ ගිගුරුම් සහිත වැසි ඇති තේ
නුවරඑළිය,15,13,95,70,විටින් විට වැසි තහෝ ගිගුරුම් සහිත වැසි ඇති තේ
රේනපුරය,30,22,90,75,"සවස 2.00න් පසුව වැසි තහෝ ගිගුරුම් සහිත වැසි ඇති
තේ"
ිකුණාමලය,28,24,90,70,විටින් විට වැසි
මන්නාරම,28,24,95,80,විටින් විට වැසි
