River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 pm","Water
Level at
9:00 pm",Remarks,"Water
Level
Rising or
Falling","12 Hr RF
in mm at
9.00 pm",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.60,3.50,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,6.02,5.99,Normal,,6.5,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.91,12.96,Normal,,22.,0,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.20,2.15,Normal,,36.7,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,2.51,2.54,Normal,,31.,3,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.84,2.10,Normal,,23.,4,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.53,1.50,Alert,Falling,22.,2,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.75,2.75,Normal,,20.,0,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.64,8.63,Normal,,17.,9,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.95,5.20,Alert,Rising,19.,4,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.29,3.37,Normal,,27.,9,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.35,6.35,Alert,,27.,3,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.25,3.26,Normal,,6.7,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.39,3.54,Normal,,29.,8,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.46,1.43,Alert,Falling,8.7,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.08,5.13,Alert,Rising,11.4,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.04,2.10,Normal,,16.,0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.54,1.65,Normal,,28.,9,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.38,1.38,Normal,,21.,9,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.54,0.54,Normal,,4.2,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.68,0.68,Normal,,3.6,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.33,1.35,Normal,,9.9,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.14,-0.13,Normal,,6.0,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.77,0.77,Normal,,0.4,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.48,0.48,Normal,,0.0,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.42,0.42,Normal,,0.2,,
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.28,0.32,Normal,,0.0,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-3.12,-3.13,Normal,,2.1,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.40,3.80,Normal,,26.,3,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,3.14,2.88,Normal,,41.4,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.37,0.37,Normal,,3.2,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.80,1.80,Normal,,0.0,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.54,0.54,Normal,,0.0,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,4.21,4.29,Normal,,2.1,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.89,3.88,Normal,,6.4,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.91,2.95,Normal,,19.,9,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.46,4.45,Minor Flood,Falling,8.2,,
