"දදනික තත්ත්ව වාර්තාව-ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date :26th November 2024 at 0900hrs",,,,,,,,,,,,,,,,,,
"පළාත khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhakil
e;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු
NtW Fwpg;Gf;fs;
Remarks"
,,"දිස්ත්‍රික්කය
மாவட்டம் District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp DS
Division",,,"පවුේ ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ හානි
gFjpasT
Partially","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்களின்
சேதங்கள்; Small,
Medium,
Enterprises
Damages","ඉතා වැදගත් යටිතල
පහසුකම් වලට වූ
හානි mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
"වයඹ පලාත
tlNky; khfhzk
;North Western",1,"පුත්තලම
Gj;jsk;
Puttalam",Mundalama,Flash Flood / Wind,2024.11.22/24,162,951,,,,,,,,,,,
,,,Nattandiya,,2024.11.22/24,55,214,,,,,3,17,,,,,
,,,Wennappuwa,,2024.11.22/24,41,143,,,,,,,,,,,
,,,Dankotuwa,,2024.11.22/24,1,1,,,,,1,,,,,,
,,,Kalpitiya,,2024.11.22/24,124,482,,,,,,,,,,,
,,,Pallama,,2024.11.22/24,1,3,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,384,1794,0,0,0,0,5,17,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,384,1794,0,0,0,0,5,17,0,0,0,0,
"ස්ත්‍බරගමුව පලාත
rg;ufKt
Sabaragamuwa",2,"රත්නපුර
,uj;jpdGhp
Rathnapura",Rathnapura,"Heavy Rain/Cutting
Faliure/Lightning",2024.11.20/21,4,13,,,,,4,,,,,,
,,,Kuruwita,,2024.11.21,3,10,,,,,3,,,,,,
,,,Kahawatta,,2024.11.22,2,8,,,,,2,,,,,,
,,,Embilipitiya,Tree Fallen,2024.11.22,1,3,,,,,1,,,,,,
,,,Kalthota,Lightning,2024.11.22,1,3,,,,,1,,,,,,
,,,Godakawela,Tree Fallen,2024.11.24,1,6,,,,,1,,,,,,
,,,Weligepola,Tree Fallen,2024.11.24,1,4,,,,,1,,,,,,
,,,Pelmadulla,Tree Fallen,2024.11.24,2,5,,,,,2,,,,,,
,,,Balangoda,High Wind,2024.11.24,1,2,,,,,1,,,,,,
,,,Kahawaththa,Lightning,2024.11.24,2,3,,,,,2,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,18,57,0,0,0,0,18,0,0,0,0,0,
,,,,Tree Fallen,2024.11.21,3,13,,,,,3,,,,,,
,,කෑගල්ල,Warakapola,Rock Fallen,2024.11.24,1,4,,,,,1,,,,,,
,3,"Nffhiy
Kegalle",Aranayake,Cutting Faliure,2024.11.22,2,9,,,,,2,,,,,,
,,,Mawanella,Cutting Faliure,2024.11.24,6,23,,,,,6,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,12,49,0,0,0,0,12,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,30,106,0,0,0,0,30,0,0,0,0,0,
