River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6:00 pm",Remarks,"Water Level
Rising or
Falling","9 Hr RF in
mm at 6:00
pm",,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.80,2.50,Normal,,-,,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.05,4.47,Normal,,3.0,,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,14.59,15.00,Alert,Rising,18.1,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,4.05,3.55,Alert,Falling,108.,,,7,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,2.14,1.94,Normal,,18.1,,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,4.92,4.10,Normal,,,35.1,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,2.20,2.34,Alert,Rising,7,,4.3,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.46,1.52,Normal,,0.8,,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.55,7.66,Normal,,,47.8,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,8.54,8.73,Minor Flood,Rising,6,,3.8,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.15,4.06,Alert,Falling,7.1,,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.91,5.00,Alert,Rising,3.5,,,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.26,3.44,Normal,,16.8,,,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.00,3.06,Normal,,14.0,,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.40,1.45,Alert,Rising,,33.2,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,7.01,7.05,Minor Flood,Rising,,44.1,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,5.88,5.70,Minor Flood,Falling,151.8,,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,3.48,3.39,Alert,Falling,134.8,,,,
Mahaweli Ganga,Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,9.05,9.31,Major Flood,Rising,,49.5,,,
(RB 60),Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,7.66,7.23,Major Flood,Falling,161.8,,,,
