දින්‍ය : 2026-07-25,,,,,
න්‍ගරය,උෂ්ණත්වය(සස. අංශක),,සාසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,35,25,90,50,ප්‍රධාන වශවයේ වැසි රහිත
මඩකලපුව,34,25,90,65,ප්‍රධාන වශවයේ වැසි රහිත
වකාළඹ,32,26,85,65,වැසි ස්වල්පයක්
ගාල්ල,30,27,90,75,වැසි ස්වල්පයක්
යාපනය,33,27,85,65,ප්‍රධාන වශවයේ වැසි රහිත
මහනුවර,31,22,95,60,ප්‍රධාන වශවයේ වැසි රහිත
නුවරඑළිය,22,14,90,70,ප්‍රධාන වශවයේ වැසි රහිත
රත්නපුරය,34,24,95,60,වැසි ස්වල්පයක්
ිකුණාමලය,37,26,85,40,ප්‍රධාන වශවයේ වැසි රහිත
මේනාරම,32,27,85,75,ප්‍රධාන වශවයේ වැසි රහිත
