River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
05:00 am","Water
Level at
06.00 am",Remarks,"Water
Level
Rising or
Falling","21 Hr RF
in mm at
06.00 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.40,2.50,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.16,3.12,Normal,,0.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.80,10.81,Normal,,0.0
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.90,1.90,Normal,,13.3
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.96,0.94,Normal,,0.6
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.89,0.83,Normal,,1.6
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.96,0.96,Normal,,2.8
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.85,1.85,Normal,,0.6
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.39,7.36,Normal,,0.0
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.20,3.15,Normal,,0.1
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.30,3.13,Normal,,0.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.40,5.40,Alert,,0.0
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.79,3.78,Alert,Falling,0.0
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.45,2.39,Normal,,0.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.03,2.03,Minor Flood,,0.6
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.79,6.77,Minor Flood,Falling,0.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.18,2.16,Normal,,0.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.54,1.53,Normal,,0.0
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.45,3.41,Normal,,0.0
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.28,2.29,Normal,,0.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.72,3.65,Alert,Falling,0.0
