River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,0.50,0.80,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,0.66,0.66,Normal,,0.0,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,8.88,8.83,Normal,,0.0,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.67,1.57,Normal,,11.9,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.22,0.21,Normal,,0.0,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.37,0.36,Normal,,4.1,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.42,0.42,Normal,,0.0,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.28,0.20,Normal,,2.1,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,4.34,4.31,Normal,,3.3,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,0.70,0.70,Normal,,4.2,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,0.84,0.84,Normal,,7.,3
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,1.70,1.62,Normal,,5.,6
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.21,1.21,Normal,,0.3,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.08,1.08,Normal,,4.2,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.16,0.11,Normal,,0.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,1.97,1.98,Normal,,1.3,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.19,0.19,Normal,,6.,7
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,-0.08,-0.08,Normal,,0.0,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.87,0.88,Normal,,0.0,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.01,0.01,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.56,0.54,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,0.95,0.95,Normal,,0.0,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.24,-0.24,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.53,0.53,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.19,0.19,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.05,0.05,Normal,,0.0,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.20,-0.20,Normal,,0.0,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-3.16,-3.13,Normal,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.28,1.26,Normal,,0.0,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.92,0.92,Normal,,1.3,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.10,0.10,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.23,1.23,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.43,0.43,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,0.98,0.98,Normal,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.06,0.06,Normal,,0.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.06,0.06,Normal,,0.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,1.81,1.81,Normal,,0.1,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,0.75,0.74,Normal,,0.0,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.63,0.63,Normal,,0.0,
