,මරණ පිළිබඳ විස්තර (2025.11.26 දින සිට 2025.11.28 දින 1800 පැය දක්වා),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,අනු,,දිස්ික්කය,දිනය,ආපදාව,,ප්‍රා.වල්.වකා,,,,ස්ි/ පුරුෂ,,වයස,,
,අ.,,,,,,,,,,භාවය,,,,
01,,,බදුල්ල,2025.11.27,අධි වර්ෂොව ස්ත්‍හ ොයයෑම්,,ලුණුගල,,,7,,,,,
,,,,,,,පස්ත්‍රස්ත්‍ර,,,2,,,,,
,,,,,,,බදුල්ල,,,5,,,,,
,,,,,,,න්ද ැටිය,,,3,,,,,
,,,,,,,මස්ත්‍ොරණොමතොට,,,1,,,,,
,,,,,,,ඇල්ල,,,1,,,,,
,,,,,,,-,,,11,,,,,
දිස්ික් එකතුව,,,,,,,,,,30,,,,,
02,,,මමොණරොගල,2025.11.27,අධි වර්ෂොව ස්ත්‍හ ොයයෑම්,,-,,,2,,,,,
,දිස්ික් එකතුව,,,,,,,,,,2,,,,
03,,,කුරුණෑගල,2025.11.26,"ගස්ත්‍ක් ඩො වැටීම
(යතුරුපැදියක් මතට)",,ඉබ්බොගමුව,,,පුරුෂ - 1,,,අවු. 34,,
,,,,2025.11.27,ජල ගැලීම්,,-,,,2,,,,,
දිස්ික් එකතුව,,,,,,,,,,03,,,,,
04,,,නුවරඑළිය,2025.11.27,ොයයෑම්,,වලපමන්,,,04,,,,,
,,,,2025.11.27,,,,,,02,,,,,
දිස්ික් එකතුව,,,,,,,,,,06,,,,,
05,,,ගොල්ල,2026.11.26,"ජල පහරට හසුවීම
(ගං ගඟ)",,බද්මද්ගම,,,ගැහැණු - 1,,,,,
,දිස්ික් එකතුව,,,,,,,,,,01,,,,
06,,,අම්පොර,2025.11.27,ජල පහරට හසුවීම,,ස්ත්‍යින්දමරුදු,,,"පිරිමි - 01
ගැහැණු - 02",,,"අවු. 62
අවු. 59 හො අවු 06",,
,,,,,දිමේ ගලිම්,,ස්ත්‍මන්තුමර්,,,1,,,,,
,,,,,ගස්ත්‍ර ඩො වැටීම්,,තිරුක්ම ෝවිල්,,,1,,,,,
,දිස්ික් එකතුව,,,,,,,,,,05,,,,
07,,,අනුරොධපුර,2025.11.27,ගස්ත්‍ර ඩො වැටීම්,,ම.නු.ප,,,01,,,,,
,දිස්ික් එකතුව,,,,,,,,,01,,,,,
08,,,මහනුවර,2025.11.27,-,,-,,,04,,,,,
,දිස්ික් එකතුව,,,,,,,,,04,,,,,
09,,,මොතමල්,2025.11.28,-,,-,,,08,,,,,
දිස්ික් එකතුව,,,,,,,,,,08,,,,,
10,,,හම්බන්මතොට,2025.11.27,-,,-,,,01,,,,,
දිස්ික් එකතුව,,,,,,,,,,01,,,,,
11,,,ෑගල්ල,2025.11.27,-,,-,,,08,,,,,
,දිස්ික් එකතුව,,,,,,,,,08,,,,,
මුළු මරණ එකතුව,මුළු මරණ එකතුව,,,,,,,,,69,,,,,
