දිස්ික්කය,"ප්‍රා.වල්.
කාර්යාලය","වයාදවා ඇති
ස්ථානය",ස්ථානගත කිරිම
ගොල්ල,තවලම,"අමශෝ ොරොමය -
තවලම","ොවි හමුදොමව් 01 X 10 භට පිරිස්ත්‍ක් ස්ත්‍හ OBM 01, ඩිංග 01
ක් ස්ත්‍මඟ ස්ත්‍රථො ගත ර ඇත."
,ොමගොඩ,"ොමගොඩ ප්‍රො.මල්.
ොර්යොලය","ොවි හමුදොමව් 01 X 05 භට පිරිස්ත්‍ක් ස්ත්‍හ OBM 01, ඩිංග 01
ක් ස්ත්‍මඟ ස්ත්‍රථො ගත ර ඇත."
,,"විදයොතිල පිරිමව
- ොමගොඩ","ොවි හමුදොමව් 01 X 05 භට පිරිස්ත්‍ක් ස්ත්‍හ OBM 01, ඩිංග 01
ක් ස්ත්‍මඟ ස්ත්‍රථො ගත ර ඇත."
,ම ළුව,"සුදර්ශ ොරොමය -
ම ළුව","යුද්ධ හමුදොමව් 01 X 16 භට පිරිස්ත්‍ක් ස්ත්‍මඟ OBM 01, ඩිංග 01
ක් ස්ත්‍රථො ගත ර ඇත."
මොතර,අතුරලිය,පො දුගම,"යුද්ධ හමුදොමව් (3 ගැමහරබ) 01 x 05 භට පිරිස්ත්‍ක් යුනි බෆල් රථ
01 ක් ස්ත්‍මඟ ස්ත්‍රථො ගත ර ඇත."
,ඹුරුපිටිය,"ඹුරුපිටිය
මපොලිසිය","යුද්ධ හමුදොමව් (9 ශ්‍රීලංසිමර) 01x 05 භට පිරිස්ත්‍ක් යුනි බෆල් රථ
01 ක් ස්ත්‍මඟ ස්ත්‍රථො ගත ර ඇත."
රත් පුර,රත් පුර,"ව ගරය -
රත් පුර","ව ගරමේ ොවි හමුදොමව් 03 භට පිරිස්ත්‍ක් OBM 01,
ඩිංග 01 ක් ස්ත්‍මඟ ස්ත්‍ථර ො ගත ර ඇත."
ෑගල්ල,වර මපොළ,වර මපොළ,"ොවි හමුදොමව් 01x03 භට පිරිස්ත්‍ක් OBM 01, ඩිංග 01 ක්
ස්ත්‍මඟ ස්ත්‍රථො ගත ර ඇත."
අනුරොධපුරය,අනුරොධපුරය,අනුරොධපුරය,"ොවි හමුදොමව් 01x03 භට පිරිස්ත්‍ක් OBM 01, ඩිංග 01 ක්
ස්ත්‍මඟ ස්ත්‍රථො ගත ර ඇත."
,පදවිය,,
,ඉපමලෝගම,,"ොවි හමුදොමව් 01x03 භට පිරිස්ත්‍ක් OBM 01, ඩිංග 01 ක්
ස්ත්‍මඟ ස්ත්‍රථො ගත ර ඇත."
,තඹුත්මත්ගම,"තඹුත්මත්ගම
මපොලිසිය","ොවි හමුදොමව් 01x03 භට පිරිස්ත්‍ක් OBM 01, ඩිංග 01 ක්
ස්ත්‍මඟ ස්ත්‍රථො ගත ර ඇත."
,ගල් ෑව,ගල් ෑව මපොලිසිය,"ොවි හමුදොමව් 01x03 භට පිරිස්ත්‍ක් OBM 01, ඩිංග 01 ක්
ස්ත්‍මඟ ස්ත්‍රථො ගත ර ඇත."
,මස්ත්‍ට්ටිකුලම,,"ොවි හමුදොමව් 01x03 භට පිරිස්ත්‍ක් OBM 01, ඩිංග 01 ක්
ස්ත්‍මඟ ස්ත්‍රථො ගත ර ඇත."
,මැදවච්චිය,මැදවච්චිය ගරය,"ොවි හමුදොමව් 01x03 භට පිරිස්ත්‍ක් OBM 01, ඩිංග 01 ක්
ස්ත්‍මඟ ස්ත්‍රථො ගත ර ඇත."
පුත්තලම,රස්ත්‍ර ොය පුර,,"ොවි හමුදොමව් 01x03 භට පිරිස්ත්‍ක් OBM 01, ඩිංග 01 ක්
ස්ත්‍මඟ ස්ත්‍රථො ගත ර ඇත."
,"පරණ
එළුවන්කුලම",,"ොවි හමුදොමව් 01x03 භට පිරිස්ත්‍ක් OBM 01, ඩිංග 01 ක්
ස්ත්‍මඟ ස්ත්‍රථො ගත ර ඇත."
,පල්ලම,,"ොවි හමුදොමව් 01x03 භට පිරිස්ත්‍ක් OBM 01, ඩිංග 01 ක්
ස්ත්‍මඟ ස්ත්‍රථො ගත ර ඇත."
,ආරච්චි ට්ටුව,,"ොවි හමුදොමව් 01x03 භට පිරිස්ත්‍ක් OBM 01, ඩිංග 01 ක්
ස්ත්‍මඟ ස්ත්‍රථො ගත ර ඇත."
,ආ මඩුව,,"ොවි හමුදොමව් 01x03 භට පිරිස්ත්‍ක් OBM 01, ඩිංග 01 ක්
ස්ත්‍මඟ ස්ත්‍රථො ගත ර ඇත."
,පුත්තලම,පුත්තලම ගරය,"ොවි හමුදොමව් 01x03 භට පිරිස්ත්‍ක් OBM 01, ඩිංග 01 ක්
ස්ත්‍මඟ ස්ත්‍රථො ගත ර ඇත."
,වොරියමපොළ,,"ොවි හමුදොමව් 01x03 භට පිරිස්ත්‍ක් OBM 01, ඩිංග 01 ක්
ස්ත්‍මඟ ස්ත්‍රථො ගත ර ඇත."
,රුවලගස්ත්‍රවැව,,"ොවි හමුදොමව් 01x03 භට පිරිස්ත්‍ක් OBM 01, ඩිංග 01 ක්
ස්ත්‍මඟ ස්ත්‍රථො ගත ර ඇත."
