දිස්ික්කය,විමසිලිමත්ත මට්ටම (කහ),අවදානම් මට්ටම (ඇම්බර්),ඉවත්තවීම (රතු)
බදුල්ල,,හපුතමල්,"මීගහකිවුල, හොලි ඇල, වැලිමඩ,
ඌව පරණගම, න්ද ැටිය,
ලුණුගල, බණ්ඩොරමවල,
මස්ත්‍ොරණමතොට, පස්ත්‍රස්ත්‍ර, බදුල්ල,
ඇල්ල, හල්දුම්මුල්ල,"
ම ොළඹ,"මහෝමොගම, ැස්ත්‍රබෑව, ඩුමවල,
මහරගම",,"පොදුක් , සීතොව"
ගොල්ල,,"තවලම, ම ළුව",
ගම්පහ,"මීරිගම, මදොම්මප්, බියගම",,අත්ත ගල්ල
හම්බන්මතොට,"ඕමක්මවල, වලස්ත්‍රමුල්ල, තංගල්ල,
මබලිඅත්ත, වීර ැටිය",,
ළුතර,,"වලල්ලොවිට, මතුගම, අගලවත්ත,
පොලින්දනුවර","මහොරණ, බුලත්සිංහල, ඉංගරිය"
මහනුවර,,,"උඩුදුම්බර, මිනිමප්, මදොළුව,
මැදදුම්බර, පොතමහවර ොහැට, ගඟඉහල
ම ොරමල්, උඩපලොත, මදල්මතොට,
ගඟවටම ෝරමල්, අකුරණ,
උඩුනුවර, යටිනුවර, පොතදුම්බර,
තුම්පමන්, පස්ත්‍රබොමග්ම ොරමල්,
පන්විල, හොරිස්ත්‍රපත්තුව, පූජොපිටිය,
කුණ්ඩස්ත්‍ොමල්, හතරලිද්ද"
ෑගල්ල,,,"රඹුක් , අරණොය , මොව ැල්ල,
බුලත්ම ොහුපිටිය, ෑගල්ල,
වර ොමපොල, ගලිගමුව,
රුවන්වැල්ල, යටියන්මතොට,
දැරනියගල, මදිඕවිට"
කුරුණෑගල,,මපොල්ගහමවල,"මල්ලවපිටිය, මොවතගම, රිදීගම,
ොරම්මල, අලව්ව"
මමොණරොගල,,"බඩල්කුඹුර, වැල්ලවොය","බිබිල, මැදගම"
මොතමල්,,,"යටවත්ත, විල්ගමුව, අඹන්ගඟ
ම ෝරමල්, උකුමවල, රත්මතොට,
ොඋල, පල්මලමපොල, ලග්ගල
පල්මල්ගම, මොතමල්, උකුමවල"
මොතර,"පස්ත්‍රමගොඩ, හක්ම , මුලටිය ,
ඩවත් ස්ත්‍තර, පිටබැද්දර,
ම ොටමපොල, කිරින්ද
පුහුල්වැල්ල, දික්වැල්ල,
මදවිනුවර, තිහමගොඩ, වැලිපිටිය,
අතුරලිය, අකුරැක් , වැලිගම,
මොලිම්බඩ",,
නුවරඑළිය,,,"වලපමන්, හඟුරන්ම ත,
නිල්දණ්ඩොින් , මතුරට
නුවරඑළිය, ම ොත්මමල්
ැමග ිර, ම ොත්මමල් බටිර,
තලව ැමල්, අඹගමුව, ම ෝර්වුේ"
රත් පුර,,"වැලිමගමපොල, ම ොටමපොල,
ඇඹිලිපිටිය","කිරිඇල්ල, ඇහැලියවගාඩ,
කුරුවිට, රත්තනපුර, පැල්මඩුල්ල,
වගාඩකවවල, ඕපනායක,
ඇලපොත, ඉඹුල්මප, ලවො ,
ම ොමලොන් , හවත්ත ,
බලංමගොඩ"
