,අ.අ,,,දිස්ික්කය,,"බලපෑමට
ලක්ූ පවුල්",,,,බලපෑමට,,මිය යෑම්,,,අතුරුදහන්,,,,ආරක්ිත,,"පවුල්
සංඛ්‍යාව",,,"පුද්ගලයින්
සංඛ්‍යාව",,
,,,,,,,,,,ලක්ූ,,,,,,,,,ස්ථාන,,,,,,,
,,,,,,,,,,පුද්ගලයින්,,,,,,,,,සංඛ්‍යාව,,,,,,,
1,,,පුත්තලම,,,"9,937",,,"36,574",,,-,,,-,,,11,,,205,,,925,,
2,,,බදුල්ල,,,"2,099",,,"6,863",,,30,,,4,,,44,,,"1,271",,,"4,270",,
3,,,මමොණරොගල,,,593,,,"1,980",,,2,,,-,,,8,,,207,,,738,,
4,,,මොතමල්,,,325,,,"1,800",,,8,,,2,,,6,,,143,,,490,,
5,,,ම ොළඹ,,,"1,061",,,"3,611",,,-,,,-,,,5,,,43,,,133,,
6,,,මඩ ලපුව,,,"4,475",,,"14,049",,,-,,,1,,,12,,,425,,,"1,215",,
7,,,ෑගල්ල,,,800,,,"3,600",,,8,,,2,,,10,,,271,,,"1,267",,
8,,,ත්‍රිකුණොමලය,,,"3,844",,,"11,350",,,-,,,-,,,4,,,204,,,589,,
9,,,අනුරොධපුර,,,"1,537",,,"4,737",,,1,,,-,,,26,,,668,,,"1,750",,
10,,,මුලතිව්,,,670,,,782,,,-,,,-,,,-,,,-,,,-,,
11,,,කිලිම ොච්චි,,,35,,,172,,,-,,,-,,,1,,,27,,,134,,
12,,,අම්පොර,,,"6,412",,,"20,377",,,5,,,-,,,11,,,642,,,"1,490",,
13,,,යොප ය,,,231,,,746,,,-,,,-,,,1,,,2,,,9,,
14,,,මපොමලොන් රුව,,,"4,218",,,"14,943",,,-,,,-,,,-,,,-,,,-,,
15,,,නුවර,,,448,,,"1,715",,,4,,,19,,,7,,,115,,,267,,
16,,,රත් පුර,,,298,,,"1,124",,,-,,,-,,,6,,,49,,,154,,
17,,,කුරුණෑගල,,,"2,805",,,"9,572",,,3,,,-,,,30,,,566,,,815,,
18,,,නුවරඑළිය,,,250,,,920,,,6,,,4,,,49,,,380,,,"1,603",,
19,,,මොතර,,,334,,,"1,168",,,-,,,-,,,-,,,-,,,-,,
20,,,හම්බන්මතොට,,,"1,753",,,"6,336",,,1,,,-,,,7,,,-,,,-,,
21,,,ගොල්ල,,,252,,,841,,,1,,,2,,,-,,,-,,,-,,
22,,,ළුතර,,,72,,,287,,,-,,,-,,,3,,,49,,,386,,
23,,,මන් ොරම,,,33,,,134,,,-,,,-,,,-,,,48,,,126,,
24,,,ගම්පහ,,,"17,465",,,"71,443",,,-,,,-,,,7,,,208,,,803,,
25,,,වවුනියොව,,,"1,228",,,"4,158",,,-,,,-,,,18,,,367,,,"1,279",,
,එ තුව,,,,,,"61,175",,,"219,282",,,69,,,34,,,266,,,"5,890",,,"18,443",
