"අනු
අංකය",දිස්ික්කය,ජලා ය,විවෘත කර ඇති වාන් වදාරටු ප්‍රමාණය
01,අනුරොධපුරය,රොජොංග ය,"වොන්මදොරටු 12 අඩි 06 බැගන් ද
වොන්මදොරටු 06 අඩි 05 බැගන් ද
වොන්මදොරටු 04 අඩි 04 බැගන් ද විවෘත ර ඇත."
02,,අංගමුව,වොන්මදොරටු 02 අඩි 06 බැගන් විවෘත ර ඇත.
03,,ලොවැව,වොන්මදොරටු 02 අඩි 17 බැගන් විවෘත ර ඇත.
04,කුරුණෑගල,දැදුරු ඔය,වොන්මදොරටු 08 අඩි 17 බැගන් ද විවෘත ර ඇත.
05,මහනුවර,මපොල්මගොල්ල,වොන්මදොරටු 03 අඩි 02 අඟල් 06 බැගන් විවෘත ර ඇත.
06,මමොණරොගල,මවමහරගල,"වොන්මදොරටු 02 අඩි 01 බැගන්ද
වොන්මදොරටු 04 අඟල් 06 බැගන් ද විවෘත ර ඇත."
07,මොතමල්,මබෝවතැන්,වොන්මදොරටු 06 අඩි 03 බැගන් විවෘත ර ඇත.
08,මහනුවර,රන්ටැමේ,වොන්මදොරටු 02 මීටර් 2 ½ බැගන් විවෘත ර ඇත.
09,බදුල්ල,උල්ිටිය - රත්කිඳ,වොන්මදොරටු 07 අඩි 01 බැගන් විවෘත ර ඇත.
10,ළුතර,කුකුමල්ගඟ,වොන්මදොරටු 02 තත්.ඝ මීටර් 50 බැගන් විවෘත ර ඇත.
11,හම්බන්මතොට,ලුණුගම්මවමහර,වොන්මදොරටු 06 අඩි 01 අඟල් 07 බැගන් විවෘත ර ඇත.
