,සමස්ථ ආපදා විස්තරය Island-wide Total Incidents Summary,,,සංඛ්‍යාව,
• බලපෑමට ලක් වූ දිස්ත්‍රත්‍රික් ස්ත්‍ංඛ්‍යොව,,,25,,
• බලපෑමට ලක් වූ ප්‍රොමද්ශිය මල් ම් ම ොට්ඨොශ ස්ත්‍ංඛ්‍යොව,,,331,,
• බලපෑමට ලක් වූ මුළු පවුල් ස්ත්‍ංඛ්‍යොව,,,61175,,
• බලපෑමට ලක් වූ මුළු පුද්ගල ස්ත්‍ංඛ්‍යොව,,,219282,,
• මියයෑම,,,69,,
• අතුරුදහන්,,,34,,
• සුරක්ිත මධයස්ත්‍රථො ස්ත්‍ංඛ්‍යොව,,,266,,
• සුරක්ිත මධයස්ත්‍රථො යන්ි සිටි මුළු පවුල් ස්ත්‍ංඛ්‍යොව,,,5890,,
• සුරක්ිත මධයස්ත්‍රථො යන්ි සිටි මුළු පුද්ගල ස්ත්‍ංඛ්‍යොව,,,18443,,
