ස්ථානය,දිස්ික්කය,වර්ෂාපතනය (මි.මි)
ගම්මඩුව,මාතලේ,436.60
ල ාලතල ෝයා වතුයාය,කෑගේ,395.80
වටව,නුවරඑළිය,344.60
කිතුල්ගල,ෑගල්ල,328.80
ල ෝර්ටන්,නුවරඑළිය,311.80
අලවල,ගම්පහ,287.40
ිදගල්ල,මහනුවර,277.20
ගම්ලපා,මහනුවර,276.00
මුරුත ාව,මහනුවර,263.80
හැටන්,නුවරඑළිය,261.40
වෑවු,කුරුණෑග,259.00
ලහේවාහැට,නුවරඑළිය,258.00
අන්වාරාම,කෑගේ,257.40
මගට්ටු මේ,රත් පුර,256.00
ගනිගත්මහර,නුවරඑළිය,255.2
