"දදනික තත්ත්ව වාර්තාව-ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date :14th December 2023 at 0900hrs",,,,,,,,,,,,,,,,,,,"Reported
Time"
"පළාත khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhakil
e;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු
NtW Fwpg;Gf;fs;
Remarks",
,,"දිස්ත්‍රික්කය
மாவட்டம் District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp DS
Division",,,"පවුේ ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ හානි
gFjpasT
Partially","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்களின்
சேதங்கள்; Small,
Medium,
Enterprises
Damages","ඉතා වැදගත් යටිතල
පහසුකම් වලට වූ
හානි mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",,
"ඌව
Cth khfhzk;
Uva",,,Haldumulla,Landslide Risk,2023.10.14-27,,,,,,,,,,5,131,427,"1. Koslanda watta tea
factory 2.Dambethenna
3.Poonagala Tea
Factory 4.Bathgoda
Tamil School
5.Haldumulla No 02
Tamil Collage",
,1,"බදුල්ල
gJs;is
Badulla",,Landslide Risk,2023.12.09,83,279,,,,7,,,,,,,"Currently staying at
relative's house.
(Date & Time =
11.12.2023,0900 hrs)",
,,,Bandarawela,Cutting Faliure,2023.10.14-11.16,,,,,,,,,,1,3,7,"Udaperuwa Muslim
Mosque",
,,,Haputhale,Landslide Risk,2023.10.23,,,,,,,,,,1,9,22,"Galkanda Muthuwana
School",
,,,,Landslide Risk,2023.10.22,,,,,,,,,,1,17,81,Kalban Vidyalaya,
,,,,Landslide Risk,2023.11.20,,,,,,,,,,1,7,26,Glanor Tamil School,
,,,Uwa Paranagama,Landslide Risk,2023.11.14,,,,,,,,,,1,7,19,Thuparama Temple,
,,,Ella,Heavy Rain,2023.11.23,,,,,,,,,,1,2,7,Karandagolle temple,
,දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,83,279,0,0,0,7,0,0,0,11,176,589,,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,83,279,0,0,0,7,0,0,0,11,176,589,,
"දකුනු පලාත njd;
khfhzk; Southern",,හම්බන්තාට,Weeraketiya,Heavy rain,,3,12,,,,,3,,,,,,,
,2,"`k;ghe;Njhl;il
Hambantota",Hambantota,Heavy rain,2023.12.10/11,1,5,,,,,1,,,,,,,
,දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,4,17,0,0,0,0,4,0,0,0,0,0,,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,4,17,0,0,0,0,4,0,0,0,0,0,,
"සබරගමුව පලාත
rg;ufKt
Sabaragamuwa",6,"කෑගල්ල
Nffhiy
Kegalle",Rambukkana,Heavy rain,2023.12.12,1,4,,,,,1,,,,,,,
,දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,1,4,0,0,0,0,1,0,0,0,0,0,,
,,,Opanayaka,Cutting Failure,2023.12.12,2,9,,,,,2,,,,,,,
,,රත්නපුර,Balangoda,Cutting Failure,2023.12.12,1,3,,,,,1,,,,,,,
,7,",uj;jpdGhp",Pelmadulla,Heavy Rain,2023.12.12,2,10,,,,,2,,,,,,,
,,Rathnapura,Godakawela,Heavy Rain,2023.12.12,1,6,,,,,1,,,,,,,
,,,Kalawana,Heavy Rain,2023.12.12,11,42,,,,,11,4,,,,,,
,දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,17,70,0,0,0,0,17,4,0,0,0,0,,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,18,74,0,0,0,0,18,4,0,0,0,0,,
