5,"නුවර
fz;b
Kandy",Medadumbara,Heavy rain,2023.11.21,,,,,,,,,,1,11,50
දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,0,0,0,0,0,0,0,0,0,1,11,50
6,"නුවරඑලිය
Etnuypah
Nuwara Eliya",Hanguranketha,Heavy Rain,2023.11.19,1,1,,,,,1,,,,,
,,Nuwara Eliya,Flash Flood,2023.11.20,10,48,,,,,10,,,,,
,,,,2023.11.21,1,5,,,,,,,,,,
,,,,2023.11.22,1,4,,,,,,,,,,
,,Walapane,Heavy Rain,2023.11.19,7,19,,,,,6,,,,,
,,,Heavy Rain,2023.11.21,10,44,,,,,4,,,,,
,,Hanguranketha,Heavy Rain,2023.11.21,2,10,,,,,2,,,,,
දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,32,131,0,0,0,0,23,0,0,0,0,0
