River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.70,2.00,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.98,2.95,Normal,,1.1,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.91,10.89,Normal,,9.1,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.78,1.75,Normal,,8.3,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.92,0.90,Normal,,2.0,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.77,0.81,Normal,,,22.2,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.98,0.98,Normal,,15.3,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.11,1.08,Normal,,0.5,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.19,6.16,Normal,,32,,.5,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.32,2.28,Normal,,0.0,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.09,2.12,Normal,,4.3,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.09,4.06,Normal,,12.2,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.17,3.15,Normal,,4.6,,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.27,2.23,Normal,,1.0,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.09,2.09,Minor Flood,,4.0,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.41,6.40,Minor Flood,Falling,6.1,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.41,2.30,Normal,,61.4,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.50,1.46,Normal,,54.0,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,1.04,1.01,Normal,,6.6,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.74,1.74,Normal,,0.0,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.37,1.33,Normal,,0.0,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.95,1.93,Normal,,1.3,,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.20,-0.20,Normal,,5.5,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.00,0.99,Normal,,0.3,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.56,0.55,Normal,,0.6,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.38,0.38,Normal,,0.0,,,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-0.60,-0.63,Normal,,0.0,,,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.54,0.51,Normal,,0.0,,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.65,-2.67,Normal,,0.0,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.10,3.15,Normal,,48.0,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.32,1.30,Normal,,7.4,,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.66,0.64,Normal,,7.0,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.95,1.95,Normal,,0.0,,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.58,0.58,Normal,,0.0,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.02,1.09,Normal,,15.4,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.05,0.02,Normal,,1.5,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,2.19,2.18,Normal,,4.3,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.48,3.48,Normal,,31,,.7,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.25,2.20,Normal,,36,,.0,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.52,2.49,Normal,,1.9,,,
