ප්‍රධාන්‍ න්‍ගර සදහා කාලගුණ අන්‍ාවැකිය දි න්‍ ය : 2 0 2 6 - 0 1 -16,,,,,
න්‍ගරය,උෂ්ණත්වය(සස. අංශක),,සාසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,29,21,90,55,ප්‍රධාන වශහයන් වැසි රහිත
මඩකලපුව,30,23,90,65,ප්‍රධාන වශහයන් වැසි රහිත
හකාළඹ,31,23,85,60,ප්‍රධාන වශහයන් වැසි රහිත
ගාල්ල,29,24,90,70,සවස 4.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යාපනය,29,20,90,65,ප්‍රධාන වශහයන් වැසි රහිත
මහනුවර,29,18,90,60,ප්‍රධාන වශහයන් වැසි රහිත
නුවරඑළිය,19,8,90,60,ප්‍රධාන වශහයන් වැසි රහිත
රත්නපුරය,35,22,90,55,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ිකුණාමලය,29,24,85,70,ප්‍රධාන වශහයන් වැසි රහිත
මන්නාරම,30,22,90,60,ප්‍රධාන වශහයන් වැසි රහිත
